Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
IPF_SRR21498668	(1, 0.1347805613414265)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0003555931023558582)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.01104493727014408)	(30, 0.03297317858208867)	(32, 0.039923407400862254)	(34, 0.02605527640898379)	(36, 0.010603139779338317)	(38, 0.01068934416778822)	(40, 0.025872092083527743)	(42, 0.015430585532532997)	(44, 0.012521187422348702)	(46, 0.006411451390961685)	(48, 0.0)	(50, 3.232664566871438e-05)	(52, 1.0775548556238127e-05)	(54, 1.0775548556238127e-05)	(56, 6.465329133742876e-05)	(58, 0.0012176369868549084)	(60, 0.008792847621890311)	(62, 0.0007758394960491451)	(64, 0.00021551097112476256)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.0775548556238127e-05)	(74, 0.0001293065826748575)	(76, 7.542883989366689e-05)	(78, 0.00103445266139886)	(80, 0.0008512683359428121)	(82, 7.542883989366689e-05)	(84, 0.000258613165349715)	(86, 4.310219422495251e-05)	(88, 0.00028016426246219126)	(90, 0.0)	(92, 0.0016594344776606716)	(94, 0.0019395987401228628)	(96, 0.0)	(98, 0.0)	(100, 0.0)
IPF_SRR21498793	(1, 0.11136416001956123)	(2, 0.0016196523390130883)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00039185137234187616)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0014759735024877337)	(16, 0.00040491308475327207)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0018286397375954222)	(30, 0.007745595459957753)	(32, 0.006060634558887686)	(34, 0.0003396045226962927)	(36, 0.0013192329535509834)	(38, 0.010788974451812993)	(40, 0.028487594769254398)	(42, 0.02937579121322932)	(44, 0.028004311410032755)	(46, 0.028187175383792295)	(48, 0.005995325996830706)	(50, 0.0001567405489367505)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.00014367883652535463)	(60, 0.0029127618677412797)	(62, 0.00018286397375954225)	(64, 0.00022204911099372987)	(66, 1.3061712411395874e-05)	(68, 2.612342482279175e-05)	(70, 0.4892917469308894)	(72, 0.0)	(74, 1.3061712411395874e-05)	(76, 0.0)	(78, 0.000522468496455835)	(80, 2.612342482279175e-05)	(82, 0.0006400239081583979)	(84, 3.918513723418762e-05)	(86, 0.0)	(88, 0.00011755541170256286)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
NDC_SRR21498140	(1, 0.13385350600312693)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0003819118136649627)	(22, 1.3169372884998714e-05)	(24, 0.0)	(26, 0.0)	(28, 0.009995554019714024)	(30, 0.03229130231401685)	(32, 0.0399953854517411)	(34, 0.025970003329217464)	(36, 0.010430143324918982)	(38, 0.010983256986088928)	(40, 0.02672065758366239)	(42, 0.01564521498737847)	(44, 0.011957790579578834)	(46, 0.006703210798464346)	(48, 0.0)	(50, 1.3169372884998714e-05)	(52, 1.3169372884998714e-05)	(54, 2.6338745769997427e-05)	(56, 1.3169372884998714e-05)	(58, 0.0010798885765698947)	(60, 0.008178180561584201)	(62, 0.0006979767629049319)	(64, 0.00013169372884998715)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.3169372884998714e-05)	(74, 0.00014486310173498587)	(76, 1.3169372884998714e-05)	(78, 0.0012774291698448752)	(80, 0.0007243155086749293)	(82, 0.00013169372884998715)	(84, 0.0001712018475049833)	(86, 1.3169372884998714e-05)	(88, 0.00028972620346997174)	(90, 0.0)	(92, 0.0016461716106248394)	(94, 0.002225624017564783)	(96, 0.0)	(98, 0.0)	(100, 0.0)
NDC_SRR21498150	(1, 0.13674548536133857)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0004884764224991682)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.01066274247969613)	(30, 0.03203009684673117)	(32, 0.039133939676790505)	(34, 0.02629398799966951)	(36, 0.011276827125123654)	(38, 0.01124891418669513)	(40, 0.02678246442216868)	(42, 0.015882461965830097)	(44, 0.012281692908550516)	(46, 0.00616875939270378)	(48, 0.0)	(50, 5.582587685704779e-05)	(52, 5.582587685704779e-05)	(54, 1.3956469214261947e-05)	(56, 9.769528449983362e-05)	(58, 0.001060691660283908)	(60, 0.008206403897986025)	(62, 0.0008792575604985027)	(64, 0.00022330350742819115)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 2.7912938428523894e-05)	(74, 0.00025121644585671506)	(76, 2.7912938428523894e-05)	(78, 0.0012560822292835754)	(80, 0.0008932140297127646)	(82, 9.769528449983362e-05)	(84, 0.00016747763057114337)	(86, 5.582587685704779e-05)	(88, 0.00047451995328490627)	(90, 0.0)	(92, 0.0015352116135688145)	(94, 0.0019957750976394586)	(96, 0.0)	(98, 0.0)	(100, 0.0)
NDC_SRR21498190	(1, 0.11420026823076845)	(2, 0.0017634759204964248)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00030404757249938356)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0015962497556217636)	(16, 0.00036485708699926023)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0019459044639960545)	(30, 0.008391713000982987)	(32, 0.006415403779736993)	(34, 0.00036485708699926023)	(36, 0.0013226069403723185)	(38, 0.011721033919851236)	(40, 0.028017983805818197)	(42, 0.028610876572191992)	(44, 0.027409888660819427)	(46, 0.027212257738694828)	(48, 0.006202570478987424)	(50, 0.00018242854349963012)	(52, 0.0)	(54, 0.0)	(56, 3.040475724993835e-05)	(58, 0.00018242854349963012)	(60, 0.003086082860868743)	(62, 0.0002128333007495685)	(64, 0.00016722616487466094)	(66, 0.0)	(68, 9.121427174981506e-05)	(70, 0.4924050436627516)	(72, 0.0)	(74, 3.040475724993835e-05)	(76, 0.0)	(78, 0.0006080951449987671)	(80, 4.560713587490753e-05)	(82, 0.0006537022808736746)	(84, 6.08095144998767e-05)	(86, 0.0)	(88, 0.0001976309221245993)	(90, 0.0)	(92, 0.0)	(94, 1.5202378624969176e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
NDC_SRR21498225	(1, 0.10692237821978931)	(2, 0.0019900469224635076)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0005401555932400949)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0017910422302171568)	(16, 0.00018479007137161142)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0020326907850877255)	(30, 0.008542987145718344)	(32, 0.006524510981505357)	(34, 0.0004975117306158769)	(36, 0.0011940281534781045)	(38, 0.011698632979910476)	(40, 0.028841465754846116)	(42, 0.029139972793215646)	(44, 0.028144949331983894)	(46, 0.02781801305186489)	(48, 0.00624021856401057)	(50, 0.00019900469224635076)	(52, 0.0)	(54, 0.0)	(56, 4.264386262421801e-05)	(58, 0.00019900469224635076)	(60, 0.0026297048618267775)	(62, 0.0001421462087473934)	(64, 0.00019900469224635076)	(66, 0.0)	(68, 4.264386262421801e-05)	(70, 0.4955074690725386)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.000625443318488531)	(80, 0.0)	(82, 0.000668087181112749)	(84, 1.4214620874739338e-05)	(86, 0.0)	(88, 0.0001421462087473934)	(90, 0.0)	(92, 0.0)	(94, 1.4214620874739338e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
NDC_SRR21498260	(1, 0.13429656795368036)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0002504433584041867)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.010783796373639099)	(30, 0.03274915210191218)	(32, 0.039732102212711264)	(34, 0.026237624783403322)	(36, 0.010813260298157237)	(38, 0.011107899543338634)	(40, 0.027136274481206583)	(42, 0.01617569456045865)	(44, 0.012360116335359566)	(46, 0.006349475733659086)	(48, 0.0)	(50, 0.0)	(52, 2.9463924518139615e-05)	(54, 1.4731962259069808e-05)	(56, 0.0)	(58, 0.001296412678798143)	(60, 0.008824445393182815)	(62, 0.0005450826035855829)	(64, 0.00013258766033162825)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 1.4731962259069808e-05)	(74, 0.00011785569807255846)	(76, 5.892784903627923e-05)	(78, 0.0013995364146116315)	(80, 0.0008397218487669789)	(82, 0.00013258766033162825)	(84, 0.00010312373581348864)	(86, 2.9463924518139615e-05)	(88, 0.00027990728292232633)	(90, 0.0)	(92, 0.0012374848297618639)	(94, 0.001974082942715354)	(96, 0.0)	(98, 0.0)	(100, 0.0)
NDC_SRR21498370	(1, 0.11154658790183083)	(2, 0.0016035186446943797)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0004664781511838195)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.001661828413592357)	(16, 0.0002769714022653928)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.001865912604735278)	(30, 0.0085278037013292)	(32, 0.0059913287542671815)	(34, 0.0004227458245103364)	(36, 0.001341124684653481)	(38, 0.011326672608432118)	(40, 0.029373546082356133)	(42, 0.030146150520254336)	(44, 0.028805025835600854)	(46, 0.028761293508927373)	(48, 0.00648696178989999)	(50, 0.00023323907559190976)	(52, 0.0)	(54, 1.457744222449436e-05)	(56, 1.457744222449436e-05)	(58, 0.00010204209557146052)	(60, 0.0028426012337764003)	(62, 0.0001749293066939323)	(64, 0.00014577442224494362)	(66, 0.0)	(68, 5.830976889797744e-05)	(70, 0.48736762589151994)	(72, 0.0)	(74, 2.915488444898872e-05)	(76, 0.0)	(78, 0.0005393653623062913)	(80, 2.915488444898872e-05)	(82, 0.00033528117116337025)	(84, 7.288721112247181e-05)	(86, 0.0)	(88, 4.373232667348308e-05)	(90, 0.0)	(92, 0.0)	(94, 4.373232667348308e-05)	(96, 0.0)	(98, 0.0)	(100, 0.0)
NDC_SRR21498400	(1, 0.13206516373948865)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0003645884749656726)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.010530997873046927)	(30, 0.032953189083435794)	(32, 0.039319464761682535)	(34, 0.02515660477263141)	(36, 0.010334681001911565)	(38, 0.010222499932691358)	(40, 0.025955894890825386)	(42, 0.015326738582210776)	(44, 0.01147051432776616)	(46, 0.00597364193597602)	(48, 0.0)	(50, 1.4022633652525868e-05)	(52, 4.206790095757761e-05)	(54, 4.206790095757761e-05)	(56, 4.206790095757761e-05)	(58, 0.000981584355676811)	(60, 0.008203240686727634)	(62, 0.000855380652804078)	(64, 0.0001262037028727328)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.00019631687113536218)	(76, 1.4022633652525868e-05)	(78, 0.001388240731600061)	(80, 0.0008413580191515523)	(82, 9.815843556768109e-05)	(84, 0.0001822942374828363)	(86, 5.6090534610103474e-05)	(88, 0.00039263374227072436)	(90, 0.0)	(92, 0.0015284670681253198)	(94, 0.0018650102757859408)	(96, 0.0)	(98, 0.0)	(100, 0.0)
NDC_SRR21498528	(1, 0.1303893745754211)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.00037696258626491183)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.011368397996304973)	(30, 0.03444247630294142)	(32, 0.041823006939286006)	(34, 0.02777619056688824)	(36, 0.010971595273920855)	(38, 0.012221523849430828)	(40, 0.027022265394358414)	(42, 0.015971309575960737)	(44, 0.012380244938384473)	(46, 0.006646445599933972)	(48, 0.0)	(50, 0.0)	(52, 1.9840136119205886e-05)	(54, 3.968027223841177e-05)	(56, 0.0)	(58, 0.0011507278949139414)	(60, 0.008809020436927413)	(62, 0.0006348843558145884)	(64, 0.0001587210889536471)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 3.968027223841177e-05)	(74, 0.0001388809528344412)	(76, 3.968027223841177e-05)	(78, 0.0011507278949139414)	(80, 0.0006547244919337942)	(82, 0.0002777619056688824)	(84, 0.00011904081671523532)	(86, 0.0)	(88, 0.0003174421779072942)	(90, 0.0)	(92, 0.001745931978490118)	(94, 0.0021625748369934416)	(96, 0.0)	(98, 0.0)	(100, 0.0)
