Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NDC_SRR21498140	(1.0, 54.35089617385197)	(2.0, 12.154546956594542)	(3.0, 5.245538010992415)	(4.0, 2.950368845819976)	(5.0, 2.08023056065613)	(6.0, 1.495421601480221)	(7.0, 1.235664229497169)	(8.0, 0.9780602133686891)	(9.0, 0.9168582602614485)	('>10', 10.295123045407458)	('>50', 3.5113145534955965)	('>100', 4.5029464095620595)	('>500', 0.28303113901227794)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498150	(1.0, 59.00049842888936)	(2.0, 12.054388128616301)	(3.0, 4.933800775831791)	(4.0, 2.7775981471557576)	(5.0, 1.8396491846110716)	(6.0, 1.443869509113427)	(7.0, 1.1005804909296857)	(8.0, 0.9317912370066217)	(9.0, 0.7274242449231325)	('>10', 9.390193283979897)	('>50', 3.0610494438541567)	('>100', 2.7228086934573903)	('>500', 0.01634843163137832)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498190	(1.0, 58.68464590577103)	(2.0, 12.20745378108045)	(3.0, 5.072883231928516)	(4.0, 2.9007044694160733)	(5.0, 1.9926566637010776)	(6.0, 1.5310274785799542)	(7.0, 1.1524676006517247)	(8.0, 1.0096067992749445)	(9.0, 0.7838714525624334)	('>10', 8.996046199781755)	('>50', 2.8165528768589985)	('>100', 2.7956435489805265)	('>500', 0.018864122399782482)	('>1k', 0.03757586901281389)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498225	(1.0, 56.27770514983717)	(2.0, 11.620010052249489)	(3.0, 5.064020074257936)	(4.0, 2.776916598164435)	(5.0, 2.0371042722076917)	(6.0, 1.4012283899336833)	(7.0, 1.1470243697312366)	(8.0, 0.9258147002325627)	(9.0, 0.7567969887573932)	('>10', 9.745179605418276)	('>50', 3.5812804741728703)	('>100', 4.4717246186554025)	('>500', 0.16153453981407934)	('>1k', 0.03366016656783307)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498260	(1.0, 58.84191785667705)	(2.0, 12.06830665198249)	(3.0, 4.985754056569153)	(4.0, 2.9066117463046384)	(5.0, 1.9477578443574741)	(6.0, 1.4736322383562528)	(7.0, 1.253669189646883)	(8.0, 1.0399324168714725)	(9.0, 0.9428672221699217)	('>10', 10.201177135396481)	('>50', 2.569662716668842)	('>100', 1.7687109249993591)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498370	(1.0, 59.614729849394635)	(2.0, 12.503979705009455)	(3.0, 5.252581178601953)	(4.0, 3.1096902997300693)	(5.0, 2.0621605184560554)	(6.0, 1.5163484207936542)	(7.0, 1.2515264619872573)	(8.0, 0.9154053284840671)	(9.0, 0.7967388206932425)	('>10', 8.751180630527982)	('>50', 2.36581527742744)	('>100', 1.803670664113089)	('>500', 0.05617284478107097)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498400	(1.0, 59.063416936026044)	(2.0, 12.169603100042096)	(3.0, 5.066417745968453)	(4.0, 2.955892327400078)	(5.0, 1.9750818685036249)	(6.0, 1.487326584592246)	(7.0, 1.128628127551321)	(8.0, 0.9412885791971354)	(9.0, 0.7867758115342991)	('>10', 8.847392710545757)	('>50', 2.681430892314822)	('>100', 2.8411151554533465)	('>500', 0.05563016087084783)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498528	(1.0, 61.23021220196048)	(2.0, 11.41947224562966)	(3.0, 4.488160277450698)	(4.0, 2.662290504921013)	(5.0, 1.7702244038079158)	(6.0, 1.309931859793254)	(7.0, 1.0739920358328192)	(8.0, 0.8986232702091156)	(9.0, 0.7880872321067928)	('>10', 9.25584371065735)	('>50', 2.874874396457135)	('>100', 2.201800912827298)	('>500', 0.02648694834635307)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498546	(1.0, 54.51835973487963)	(2.0, 11.466846562938912)	(3.0, 4.956597464346959)	(4.0, 2.8524708714498193)	(5.0, 1.958953580210231)	(6.0, 1.3894892081866517)	(7.0, 1.1399755706930241)	(8.0, 0.8846556186622393)	(9.0, 0.784059354075093)	('>10', 9.566911025495548)	('>50', 3.5034976526652897)	('>100', 6.126073289383625)	('>500', 0.7251810737838262)	('>1k', 0.12692899322914475)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498683	(1.0, 57.34026705579004)	(2.0, 12.3545110544575)	(3.0, 5.115513747298104)	(4.0, 2.9636267599142188)	(5.0, 2.0208036782379115)	(6.0, 1.4734386785736755)	(7.0, 1.1351196521026385)	(8.0, 0.99341051381485)	(9.0, 0.8165118481366463)	('>10', 9.909832573720266)	('>50', 3.0139788610640093)	('>100', 2.8452019527143433)	('>500', 0.01778362417584244)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498728	(1.0, 49.21027108501448)	(2.0, 10.902203491714523)	(3.0, 4.935725855114049)	(4.0, 3.050303667177476)	(5.0, 1.923430858752891)	(6.0, 1.576598311587642)	(7.0, 1.216879847206)	(8.0, 1.0398166937288713)	(9.0, 0.8809670177169987)	('>10', 10.90727770521673)	('>50', 4.381433096991264)	('>100', 8.572349515917649)	('>500', 1.1239845610167074)	('>1k', 0.2787582928448077)	('>5k', 0.0)	('>10k+', 0.0)
NDC_SRR21498778	(1.0, 56.99891398964453)	(2.0, 12.454290317749681)	(3.0, 5.456682488952148)	(4.0, 3.09184505012586)	(5.0, 2.135267562034003)	(6.0, 1.5352109589205976)	(7.0, 1.1669175869466821)	(8.0, 0.9086211872955078)	(9.0, 0.7853550822980915)	('>10', 8.827014370474354)	('>50', 2.7618804081092474)	('>100', 3.6882002373336413)	('>500', 0.14606148171564903)	('>1k', 0.043739278399943675)	('>5k', 0.0)	('>10k+', 0.0)
