Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
IPF_SRR21498668	(13.0, 1.0)	(14.0, 65.0)	(15.0, 1415.0)	(16.0, 3699.0)	(17.0, 2896.0)	(18.0, 1787.0)	(19.0, 1319.0)	(20.0, 1236.0)	(21.0, 1409.0)	(22.0, 2104.0)	(23.0, 3424.0)	(24.0, 5456.0)	(25.0, 8595.0)	(26.0, 12695.0)	(27.0, 18152.0)	(28.0, 24610.0)	(29.0, 32871.0)	(30.0, 42727.0)	(31.0, 55803.0)	(32.0, 72960.0)	(33.0, 96418.0)	(34.0, 133731.0)	(35.0, 203890.0)	(36.0, 417180.0)	(37.0, 3495692.0)
IPF_SRR21498793	(14.0, 81.0)	(15.0, 1169.0)	(16.0, 2115.0)	(17.0, 1478.0)	(18.0, 920.0)	(19.0, 695.0)	(20.0, 722.0)	(21.0, 936.0)	(22.0, 1555.0)	(23.0, 2741.0)	(24.0, 4512.0)	(25.0, 6880.0)	(26.0, 10227.0)	(27.0, 14767.0)	(28.0, 20121.0)	(29.0, 27395.0)	(30.0, 36043.0)	(31.0, 47236.0)	(32.0, 62560.0)	(33.0, 83182.0)	(34.0, 116410.0)	(35.0, 181951.0)	(36.0, 400780.0)	(37.0, 2803506.0)	
NDC_SRR21498140	(14.0, 38.0)	(15.0, 1090.0)	(16.0, 3299.0)	(17.0, 2673.0)	(18.0, 1711.0)	(19.0, 1331.0)	(20.0, 1203.0)	(21.0, 1407.0)	(22.0, 1846.0)	(23.0, 2984.0)	(24.0, 4615.0)	(25.0, 7251.0)	(26.0, 10708.0)	(27.0, 14876.0)	(28.0, 20621.0)	(29.0, 27138.0)	(30.0, 35747.0)	(31.0, 46164.0)	(32.0, 60574.0)	(33.0, 79910.0)	(34.0, 110300.0)	(35.0, 169635.0)	(36.0, 348236.0)	(37.0, 2843331.0)	
NDC_SRR21498150	(14.0, 93.0)	(15.0, 2948.0)	(16.0, 8828.0)	(17.0, 7581.0)	(18.0, 4878.0)	(19.0, 3489.0)	(20.0, 3049.0)	(21.0, 3146.0)	(22.0, 3804.0)	(23.0, 4980.0)	(24.0, 6696.0)	(25.0, 9374.0)	(26.0, 12824.0)	(27.0, 17141.0)	(28.0, 22140.0)	(29.0, 29057.0)	(30.0, 36670.0)	(31.0, 46744.0)	(32.0, 59806.0)	(33.0, 78762.0)	(34.0, 108011.0)	(35.0, 163960.0)	(36.0, 327584.0)	(37.0, 2621003.0)	
NDC_SRR21498190	(14.0, 94.0)	(15.0, 1602.0)	(16.0, 2811.0)	(17.0, 2130.0)	(18.0, 1415.0)	(19.0, 1244.0)	(20.0, 1163.0)	(21.0, 1423.0)	(22.0, 2030.0)	(23.0, 3169.0)	(24.0, 4606.0)	(25.0, 6785.0)	(26.0, 9861.0)	(27.0, 13554.0)	(28.0, 18115.0)	(29.0, 23524.0)	(30.0, 31073.0)	(31.0, 40363.0)	(32.0, 52520.0)	(33.0, 69793.0)	(34.0, 97497.0)	(35.0, 152925.0)	(36.0, 342067.0)	(37.0, 2409195.0)	
NDC_SRR21498225	(14.0, 159.0)	(15.0, 2206.0)	(16.0, 3890.0)	(17.0, 2720.0)	(18.0, 1793.0)	(19.0, 1463.0)	(20.0, 1428.0)	(21.0, 1638.0)	(22.0, 2403.0)	(23.0, 3569.0)	(24.0, 5249.0)	(25.0, 7755.0)	(26.0, 10616.0)	(27.0, 14553.0)	(28.0, 19447.0)	(29.0, 25737.0)	(30.0, 33348.0)	(31.0, 43481.0)	(32.0, 56736.0)	(33.0, 74049.0)	(34.0, 104006.0)	(35.0, 161213.0)	(36.0, 357731.0)	(37.0, 2582315.0)	
NDC_SRR21498260	(14.0, 66.0)	(15.0, 2080.0)	(16.0, 6016.0)	(17.0, 5036.0)	(18.0, 3174.0)	(19.0, 2505.0)	(20.0, 2065.0)	(21.0, 2154.0)	(22.0, 2772.0)	(23.0, 3692.0)	(24.0, 5420.0)	(25.0, 7625.0)	(26.0, 10766.0)	(27.0, 14875.0)	(28.0, 20037.0)	(29.0, 26309.0)	(30.0, 34438.0)	(31.0, 44029.0)	(32.0, 57604.0)	(33.0, 75704.0)	(34.0, 104978.0)	(35.0, 159025.0)	(36.0, 321118.0)	(37.0, 2482493.0)	
NDC_SRR21498370	(14.0, 91.0)	(15.0, 1318.0)	(16.0, 3104.0)	(17.0, 2421.0)	(18.0, 1653.0)	(19.0, 1467.0)	(20.0, 1408.0)	(21.0, 1578.0)	(22.0, 2266.0)	(23.0, 3286.0)	(24.0, 4907.0)	(25.0, 7225.0)	(26.0, 10339.0)	(27.0, 14820.0)	(28.0, 19656.0)	(29.0, 26403.0)	(30.0, 34796.0)	(31.0, 45521.0)	(32.0, 59832.0)	(33.0, 80129.0)	(34.0, 113387.0)	(35.0, 179259.0)	(36.0, 404879.0)	(37.0, 2410212.0)	
NDC_SRR21498400	(14.0, 63.0)	(15.0, 1741.0)	(16.0, 5157.0)	(17.0, 4514.0)	(18.0, 2996.0)	(19.0, 2212.0)	(20.0, 1890.0)	(21.0, 2093.0)	(22.0, 2742.0)	(23.0, 3889.0)	(24.0, 5832.0)	(25.0, 8446.0)	(26.0, 12328.0)	(27.0, 16515.0)	(28.0, 22072.0)	(29.0, 28696.0)	(30.0, 37055.0)	(31.0, 47885.0)	(32.0, 61599.0)	(33.0, 80831.0)	(34.0, 111098.0)	(35.0, 168803.0)	(36.0, 341661.0)	(37.0, 2595546.0)	
NDC_SRR21498528	(13.0, 1.0)	(14.0, 46.0)	(15.0, 1646.0)	(16.0, 5093.0)	(17.0, 4850.0)	(18.0, 2930.0)	(19.0, 2302.0)	(20.0, 2083.0)	(21.0, 2142.0)	(22.0, 2595.0)	(23.0, 3275.0)	(24.0, 4562.0)	(25.0, 6312.0)	(26.0, 8690.0)	(27.0, 11650.0)	(28.0, 15496.0)	(29.0, 20225.0)	(30.0, 25840.0)	(31.0, 33417.0)	(32.0, 43062.0)	(33.0, 56061.0)	(34.0, 77768.0)	(35.0, 118654.0)	(36.0, 240093.0)	(37.0, 1831351.0)
NDC_SRR21498546	(14.0, 163.0)	(15.0, 2441.0)	(16.0, 3920.0)	(17.0, 2770.0)	(18.0, 1810.0)	(19.0, 1403.0)	(20.0, 1355.0)	(21.0, 1613.0)	(22.0, 2509.0)	(23.0, 3837.0)	(24.0, 5916.0)	(25.0, 8483.0)	(26.0, 12305.0)	(27.0, 16836.0)	(28.0, 22578.0)	(29.0, 30170.0)	(30.0, 39137.0)	(31.0, 52083.0)	(32.0, 68413.0)	(33.0, 88782.0)	(34.0, 125144.0)	(35.0, 194129.0)	(36.0, 431405.0)	(37.0, 3153622.0)	
NDC_SRR21498683	(13.0, 1.0)	(14.0, 61.0)	(15.0, 1755.0)	(16.0, 6607.0)	(17.0, 6479.0)	(18.0, 3899.0)	(19.0, 2928.0)	(20.0, 2690.0)	(21.0, 2838.0)	(22.0, 3356.0)	(23.0, 4483.0)	(24.0, 6424.0)	(25.0, 9344.0)	(26.0, 13009.0)	(27.0, 17719.0)	(28.0, 23819.0)	(29.0, 31657.0)	(30.0, 40907.0)	(31.0, 52814.0)	(32.0, 69196.0)	(33.0, 91816.0)	(34.0, 127579.0)	(35.0, 195824.0)	(36.0, 409664.0)	(37.0, 2766992.0)
NDC_SRR21498728	(14.0, 175.0)	(15.0, 4422.0)	(16.0, 11723.0)	(17.0, 8839.0)	(18.0, 5356.0)	(19.0, 3550.0)	(20.0, 2809.0)	(21.0, 2962.0)	(22.0, 3686.0)	(23.0, 4851.0)	(24.0, 6664.0)	(25.0, 8971.0)	(26.0, 12307.0)	(27.0, 15960.0)	(28.0, 20833.0)	(29.0, 26613.0)	(30.0, 34266.0)	(31.0, 43712.0)	(32.0, 56203.0)	(33.0, 70967.0)	(34.0, 97841.0)	(35.0, 148092.0)	(36.0, 303774.0)	(37.0, 2260181.0)	
NDC_SRR21498778	(14.0, 109.0)	(15.0, 1706.0)	(16.0, 2809.0)	(17.0, 1951.0)	(18.0, 1269.0)	(19.0, 1095.0)	(20.0, 1054.0)	(21.0, 1249.0)	(22.0, 1905.0)	(23.0, 2939.0)	(24.0, 4448.0)	(25.0, 6893.0)	(26.0, 10195.0)	(27.0, 14325.0)	(28.0, 19529.0)	(29.0, 25834.0)	(30.0, 33866.0)	(31.0, 44975.0)	(32.0, 59611.0)	(33.0, 78462.0)	(34.0, 110521.0)	(35.0, 171275.0)	(36.0, 377047.0)	(37.0, 2571799.0)	
