baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSG00000223764	23.3456660301	2.0596108073985	0.234501005708828	8.78295084992448	1.59240770136348e-18	1.96231378391873e-16	LINC02593
ENSG00000187634	27.9368860269658	1.85206845229584	0.291266092375846	6.35868197766721	2.03492211326324e-10	4.96063045832157e-09	SAMD11
ENSG00000162571	22.3653341170895	2.68372033592535	0.562961117631745	4.76715043343522	1.86849797739332e-06	1.72374071650736e-05	TTLL10
ENSG00000179403	187.789336334476	0.681847725868658	0.16083863805618	4.23932790098915	2.24189989071356e-05	0.000145897283585584	VWA1
ENSG00000142609	33.5465265139416	2.73557750788231	0.65609247781486	4.16949988055533	3.05268775989463e-05	0.000191606084069648	CFAP74
ENSG00000116151	20.3216587617062	1.21260222717222	0.292027726023978	4.15235307853151	3.29074021507132e-05	0.000204635289670546	MORN1
ENSG00000078900	21.9127588237918	2.8658225831827	0.479174911357873	5.98074422356882	2.22120422981278e-09	4.28051868218728e-08	TP73
ENSG00000158286	45.0186289127184	1.3968345910145	0.204763097563577	6.82171058962809	8.99627668237878e-12	2.88652430890126e-10	RNF207
ENSG00000187017	18.6115658082599	3.03407609911591	0.492941658610102	6.1550409589459	7.50580946284358e-10	1.62609730169218e-08	ESPN
ENSG00000171680	69.4539661830219	0.650271626666505	0.163484086876443	3.97758362352395	6.96191425144851e-05	0.000394234537206815	PLEKHG5
ENSG00000142583	13.9031805468312	1.80978878895769	0.3602810039859	5.02327008344997	5.07990285737111e-07	5.4239471526398e-06	SLC2A5
ENSG00000228526	39.3658747278208	0.773089973993139	0.172036468173167	4.49375636574315	6.99776855914188e-06	5.40817188069009e-05	MIR34AHG
ENSG00000171621	152.86355424998	1.11742687645191	0.206601973106126	5.40859731227211	6.35202706748513e-08	8.5125054780991e-07	SPSB1
ENSG00000171603	472.26260697141	0.568340636469884	0.093876002224335	6.05416318338444	1.41149471179615e-09	2.8596073859496e-08	CLSTN1
ENSG00000157330	16.2358321494343	2.97657023300163	0.597460536608253	4.98203655407843	6.29185452426129e-07	6.56253766637459e-06	C1orf158
ENSG00000142621	52.7627598875279	2.23011308020417	0.421119495775967	5.29567759881289	1.1857588494202e-07	1.48990765813022e-06	FHAD1
ENSG00000162458	241.683173189343	0.77052506408832	0.153442445920339	5.02159007872142	5.12454604823707e-07	5.46292877142225e-06	FBLIM1
ENSG00000173641	83.0249638026428	1.40450285223573	0.239876449789581	5.85510938430079	4.76696163207396e-09	8.59460787141174e-08	HSPB7
ENSG00000219481	41.3931301098986	0.710608430618064	0.155282882958941	4.57621868603482	4.73455629241732e-06	3.87063664758061e-05	NBPF1
ENSG00000058453	127.804127721605	0.838530671231678	0.184010638542217	4.55696843331859	5.18972200324066e-06	4.18668744429601e-05	CROCC
ENSG00000117122	48.2236988182757	1.5751074492273	0.24970524259459	6.30786695890313	2.82907230172169e-10	6.72568126667713e-09	MFAP2
ENSG00000169991	89.5782716765052	0.584802089266157	0.108713990772975	5.37927165683199	7.47877856622421e-08	9.82925182989468e-07	IFFO2
ENSG00000158747	880.20136269092	0.896310981851209	0.17068484179868	5.25126292648993	1.51059868945117e-07	1.84962275266254e-06	NBL1
ENSG00000188257	185.277435936822	2.53396376667182	0.476881175538342	5.31361667570812	1.07470569614647e-07	1.36828880669567e-06	PLA2G2A
ENSG00000162543	110.757833291674	2.58351762898184	0.408674868116141	6.32169440927704	2.5871062345283e-10	6.19730279738467e-09	UBXN10
ENSG00000187942	13.096389742291	0.997141985525432	0.21795402300176	4.57501069166949	4.76195667461469e-06	3.88830407619602e-05	LDLRAD2
ENSG00000142798	1204.6038541462	1.04792615741614	0.172311371663776	6.08158444389215	1.19000663813066e-09	2.44780538489602e-08	HSPG2
ENSG00000162552	12.0589638938419	1.25093636759666	0.31875638305908	3.92442766350755	8.69361763241973e-05	0.000480941812350337	WNT4
ENSG00000133216	40.3124818203812	1.36278840010574	0.203608039813588	6.69319542270252	2.18349229440047e-11	6.54657778981856e-10	EPHB2
ENSG00000117643	109.772095446918	0.685668850216162	0.137801834090203	4.97575997259467	6.49921420468086e-07	6.7515425519933e-06	MAN1C1
ENSG00000182749	42.2562677983022	0.611462442103593	0.162581014742548	3.76097075708293	0.000169255218383678	0.000861150035352107	PAQR7
ENSG00000142765	110.604125071115	1.06330293891905	0.198452985412569	5.35795889746138	8.41673811446793e-08	1.09230556863317e-06	SYTL1
ENSG00000174950	23.8750661030988	2.50129978816523	0.503708068515821	4.9657727253314	6.84280547629734e-07	7.07745518021086e-06	CD164L2
ENSG00000126705	147.756882524849	0.585241608262198	0.121940722030202	4.79939431650444	1.59146187280253e-06	1.50644932173951e-05	AHDC1
ENSG00000084636	364.09009427382	1.23479773323701	0.137401898346413	8.98675890287834	2.54628394593591e-19	3.4547157537183e-17	COL16A1
ENSG00000121753	17.2954467822651	2.51901669812419	0.293325651525644	8.5877818220885	8.86644353220097e-18	9.30422418160339e-16	ADGRB2
ENSG00000142920	18.0096009092222	1.32105646014245	0.181127622779354	7.29351183365188	3.01978181712674e-13	1.3042350278986e-11	AZIN2
ENSG00000092850	46.2789904349507	2.88192028657251	0.589625358217796	4.8877142857007	1.02013432984079e-06	1.01349440225011e-05	TEKT2
ENSG00000116885	43.2631083458667	1.16532002191746	0.310524757231374	3.75274432965475	0.000174909219363925	0.00088589013367128	OSCP1
ENSG00000163879	91.906948259405	1.03491288439067	0.252592523625551	4.09716356421084	4.18243388910561e-05	0.000252147450621484	DNALI1
ENSG00000049089	36.5493076564654	1.20150356966287	0.188341628321506	6.37938399689236	1.77801704763305e-10	4.43085806749667e-09	COL9A2
ENSG00000066185	15.3857478633804	1.58164565579331	0.351877088246228	4.49488104973332	6.96088477529151e-06	5.38276363279882e-05	ZMYND12
ENSG00000186409	32.3576549268723	1.28449502337776	0.290579962914263	4.42045284366959	9.84942783629571e-06	7.25713190878354e-05	CCDC30
