baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name	DE	label
ENSG00000000971	1239.31100577798	1.85883674769642	0.140755641007607	13.2061261231865	8.08810146359653e-40	1.18579655557789e-35	CFH	UP	CFH
ENSG00000065618	101.188045869833	5.99993850914627	0.488042411306516	12.2938875190869	9.76924493806183e-35	7.16134500184623e-31	COL17A1	UP	COL17A1
ENSG00000164694	70.9736972679077	4.41273360472301	0.37527860892958	11.7585535112422	6.38182510684783e-32	3.11879792971653e-28	FNDC1	UP	FNDC1
ENSG00000137673	391.832632785053	5.1123475432838	0.452469611932351	11.2987643997806	1.33077181772532e-29	4.87761140491774e-26	MMP7	UP	MMP7
ENSG00000143320	37.8848222734053	4.37769455824896	0.394824952961195	11.0876846192627	1.439658622348e-28	4.2213670124488e-25	CRABP2	UP	CRABP2
ENSG00000118785	612.275655418506	5.44696332318927	0.497031439777045	10.9589914988731	6.01660906736687e-28	1.47015842561109e-24	SPP1	UP	SPP1
ENSG00000114270	229.262478942162	3.70271674833472	0.339871356763466	10.8944654342014	1.22483710171585e-27	2.56533382117944e-24	COL7A1	UP	COL7A1
ENSG00000135424	248.838907832393	2.38957156377954	0.224467090241617	10.64553187377	1.82936525061347e-26	3.35254049240551e-23	ITGA7	UP	ITGA7
ENSG00000171346	303.638913890083	5.14330732009276	0.50316853756752	10.2218380842275	1.58310126533877e-24	2.57887196123685e-21	KRT15	UP	KRT15
ENSG00000156011	122.379155750632	1.18453150368357	0.116783921798238	10.1429330805488	3.56239609410865e-24	5.22282891357269e-21	PSD3	UP	PSD3
ENSG00000187955	1145.05167789752	2.6393773721015	0.260968884176063	10.1137627209259	4.80043916786538e-24	6.39811260364312e-21	COL14A1	UP	COL14A1
ENSG00000137486	238.591508759485	-1.53508642199416	0.15556529854105	-9.86779465851822	5.74129701603892e-23	7.01442962934556e-20	ARRB1	DOWN	ARRB1
ENSG00000134247	249.582239254274	1.87307959082619	0.19022458498358	9.84667460826826	7.08493742317303e-23	7.99017442777999e-20	PTGFRN	UP	PTGFRN
ENSG00000186081	397.654600799387	7.85772019140876	0.802526271392619	9.79123110546064	1.22791572139319e-22	1.28589088509611e-19	KRT5	UP	KRT5
ENSG00000168675	117.272903207054	1.17821111705578	0.121787881423562	9.67428863433561	3.87779004005978e-22	3.79015198515443e-19	LDLRAD4	UP	LDLRAD4
ENSG00000182010	191.892896107034	-4.76286998382421	0.493823918684892	-9.6448750325992	5.16740952636169e-22	4.73496194162429e-19	RTKN2	DOWN	RTKN2
ENSG00000049323	705.953496973368	1.68380270247327	0.177026420337363	9.51158984780021	1.87770536624748e-21	1.61935519850319e-18	LTBP1	UP	LTBP1
ENSG00000146072	226.576836972222	1.33830056207035	0.142292496102233	9.4052785545966	5.18925693151407e-21	4.22664977071821e-18	TNFRSF21	UP	TNFRSF21
ENSG00000115756	213.715761889752	-1.73334019455786	0.184697530877836	-9.38475022551518	6.30657391265176e-21	4.62303400666937e-18	HPCAL1	DOWN	HPCAL1
ENSG00000137745	24.1696740353088	7.81918860740081	0.83298508795624	9.38694908282869	6.17633584008787e-21	4.62303400666937e-18	MMP13	UP	MMP13
ENSG00000196754	107.507745666465	4.9140608350953	0.526324756149992	9.33655652270875	9.95180898038676e-21	6.94778435530716e-18	S100A2	UP	S100A2
ENSG00000138316	46.2848881440603	3.66816300063529	0.398095687572942	9.21427464587438	3.13389938211181e-20	2.08845903823369e-17	ADAMTS14	UP	ADAMTS14
ENSG00000134762	50.2049813564283	6.59710621081082	0.747969802938246	8.82001677727555	1.14442572836419e-18	7.29496765371625e-16	DSC3	UP	DSC3
ENSG00000131746	61.8210049058661	5.59537259392722	0.63621483208913	8.79478489294847	1.43322281610616e-18	8.75519987788848e-16	TNS4	UP	TNS4
ENSG00000083857	414.295164123949	1.24494831004331	0.141767296286797	8.78163259546659	1.61118653496683e-18	9.44864231565946e-16	FAT1	UP	FAT1
ENSG00000168398	68.0581432009857	3.26169649358279	0.372639633936051	8.75295109951331	2.07844765440253e-18	1.17200465619983e-15	BDKRB2	UP	BDKRB2
ENSG00000113805	20.4469483067376	2.33415975244805	0.271047980630991	8.61161092960074	7.20409825001222e-18	3.91182534975663e-15	CNTN3	UP	CNTN3
ENSG00000165474	14.7186193748228	5.73664427066946	0.666574057150547	8.60616192474143	7.55475261062805e-18	3.95572242944349e-15	GJB2	UP	GJB2
ENSG00000176834	94.2046410975011	-1.58824569203494	0.185050681596846	-8.58276056229348	9.26230203744478e-18	4.68257276451648e-15	VSIG10	DOWN	VSIG10
ENSG00000103742	29.9502058419852	3.0039378705141	0.351109787059435	8.55555151473348	1.17306526977902e-17	5.63606502255795e-15	IGDCC4	UP	IGDCC4
