gene_names	IPF_male_61_SRR21498165	IPF_male_57_SRR21498185	IPF_male_67_SRR21498200	IPF_male_62_SRR21498205	IPF_male_65_SRR21498230	IPF_male_70_SRR21498265	IPF_female_64_SRR21498280	IPF_male_43_SRR21498285	IPF_male_54_SRR21498295	IPF_female_70_SRR21498340	IPF_male_61_SRR21498365	IPF_female_56_SRR21498375	IPF_female_59_SRR21498421	IPF_female_71_SRR21498538	IPF_male_63_SRR21498628	IPF_male_73_SRR21498633	IPF_female_66_SRR21498643	IPF_female_61_SRR21498668	IPF_male_69_SRR21498748	IPF_male_59_SRR21498828	NDC_male_65_SRR21498140	NDC_male_42_SRR21498150	NDC_male_61_SRR21498180	NDC_male_28_SRR21498190	NDC_female_35_SRR21498195	NDC_male_41_SRR21498225	NDC_male_45_SRR21498320	NDC_female_67_SRR21498385	NDC_female_61_SRR21498400	NDC_female_44_SRR21498523	NDC_female_28_SRR21498578	NDC_female_60_SRR21498623	NDC_male_39_SRR21498663	NDC_male_69_SRR21498728
ENSG00000268903	RP11-34P13.15	3.02551257327041	1.93484214326186	1.06409806907318	3.53941483002998	2.88923285855729	4.00128197683214	1.8878700012069	2.91274406783679	2.91641380501922	1.16802380128102	1.46975388138639	2.07810700686306	4.08027143040198	3.36877313232864	3.15196406698519	0.762926419693489	0.752316703271187	2.47823242299647	2.82601753444549	2.99796919815128	1.62896724272159	4.0419893020916	3.13539611720381	4.30785210113497	3.70130908969655	5.04108399286515	4.00841022966353	4.83464397450183	2.35432728914672	2.79859900362086	2.99524728418333	3.81920602790713	4.25933067881987	2.95976917581698
ENSG00000269981	RP11-34P13.16	3.99353063315689	-1.86754185586534	-1.68110722051384	4.09334933244035	4.73944788209325	5.11034474245623	4.38250275933204	2.74605164858697	5.01030522485166	4.93641685043953	3.37329233907035	4.14472834972948	5.32230315751178	4.94128136091212	4.21003953735987	4.23003996336931	2.00160305932251	5.13166540023393	4.9847565196551	5.49450528207051	2.00301798192563	6.01465160912077	4.83486488115062	3.85425622616802	6.48804940970478	6.23259508760512	3.68961509628011	5.4091900809363	4.90202702999775	3.90901896440435	5.49188264568997	5.21639824107773	3.36491319979306	2.79032124551076
ENSG00000279457	WASH9P	2.18351421843167	3.47818158947976	2.60421425424451	-2.21526420914826	0.115210404415404	2.85166704743556	1.99257547044836	2.62386198741769	3.86900111627649	2.15440181505624	0.679746615835061	2.73579899254598	1.08681230316721	1.77164006735908	1.64158337610098	2.26636003311976	0.0588537118266181	3.35446513365584	2.54035027659763	1.49521373746479	2.66070235085617	3.03385278227491	3.814554068225	3.44303341458806	3.40888201427116	2.10829924942666	1.53071132399236	1.68296914265979	3.15890548032265	2.78590403236107	2.61237116940129	0.958628437429955	1.20089650291168	1.55369010345439
ENSG00000225630	MTND2P28	8.6881235564673	9.04721872460885	9.18764782165397	8.72430338827234	8.92945672177209	8.66016300452308	10.7746512071111	9.56938779620042	8.69629969265419	9.39707257231674	8.24104889777342	8.55793513249094	8.87794297317109	8.75969340145819	8.73582901402441	9.57269001796177	12.0129053928765	8.75747944578834	8.78363570009085	9.30164075004849	9.73629896084066	9.20284715685798	9.60098520598802	9.39308536124223	9.16665730528864	9.64615388370833	9.88785123122614	9.22942769130456	9.48100685470773	9.38570164130381	8.98675683189603	10.1748886350952	10.1172233518841	10.3401889036772
ENSG00000237973	MTCO1P12	4.28353684756526	5.00511552668133	6.80392460283668	6.26955833959605	6.84342421343219	4.36365395168593	4.5240107673525	5.75154072688357	4.16635906306699	6.80453468973461	5.66077757922004	6.48031104373205	6.87261193644115	4.74962290575172	6.8004132128067	7.02328785629492	7.0634833255139	5.06904703007863	6.93273241076577	4.68894077003067	9.60971753700757	4.72168249187811	5.61966531120548	6.81690592166095	6.07082398315315	6.86274073194272	7.21323632048918	6.36147836818866	6.9162233138961	4.91092755239098	6.49213311788851	7.62216763347458	7.16235865374006	7.28957253069328
ENSG00000248527	MTATP6P1	11.0554100738053	11.8509418468744	11.6094044701226	11.3938312719517	11.5267299818462	11.0672596315257	11.2357334409003	11.9321509414446	11.4875836942413	11.8741749785593	10.6770062259356	10.9194119088953	11.6609381172465	11.2132207512132	11.4065964829929	12.0727302249686	12.1340138889913	11.3207875806686	11.3286059341926	11.3210555923994	12.0353338399186	11.6254995566567	11.5280215111482	11.623670898145	11.1179055013565	11.8902031820254	12.089389009078	11.3165252661874	12.0120340161352	11.6116035378985	11.5339701951223	12.0770393355016	12.3868826162319	12.511598445763
ENSG00000228794	LINC01128	2.24501319567987	1.41487091046095	2.22650255572549	1.76116408520337	1.8181053463788	1.1231818085285	1.80329268923062	2.2370882621427	2.09798945432524	1.78900070235624	1.38639991815775	1.35902151585249	2.00153390804459	1.48636544695117	1.45189952791606	1.7867742642464	1.57508532653095	2.06490625089946	2.19347088410361	1.89796828352231	1.87148159776479	1.88148441380283	1.91230451215452	1.91674807542994	2.36638914896242	1.29088104323875	1.7194874630332	1.53562844196769	1.83216525628355	1.38498304560208	1.80690174266428	0.424504305713914	1.79521350086998	1.33129229705487
ENSG00000223764	LINC02593	2.49844262436994	2.604717160595	2.76166454856131	3.09013806883034	3.51191486619899	3.05770917679415	2.7047663424501	3.03343578270371	4.22260218379537	3.82303668835649	3.0151408454029	3.22312303177572	3.4039008848388	2.71423346506796	3.56548624114969	2.93185218201547	2.88908209286446	2.94662238848133	3.96863140729647	3.83288049098836	1.62912342882391	-0.100812365365663	1.38061072447875	0.730006964195773	1.79029753203533	-0.243815959297425	1.2265983041857	0.39633089697411	3.1718674950658	0.949364391621376	1.18973665708402	0.970671441805585	1.21288539857147	1.18446030822562
ENSG00000187634	SAMD11	1.806775731647	2.64823104963857	0.942288590574087	3.39795965308759	4.76920895649346	3.63673008518747	3.48078504559745	3.06479866189911	3.99800881327986	4.45850962857028	3.08858976457553	3.32265354317887	3.51549097485686	2.96825577920499	3.01369575105474	2.8264382508309	2.97822259673178	3.1845569003919	4.04401972181961	4.03548379460076	0.865438271680912	0.852168357074945	2.04661486427324	1.83617826017193	0.625990245573721	0.93749541605855	2.72431257730846	1.18124119871671	2.53845932472969	1.33554500787026	3.19877628681792	1.22560305682154	1.58109857616107	0.164602310037136
ENSG00000188976	NOC2L	5.53033931212541	4.79098697878805	4.87801653127926	4.11458539349784	4.85429987335	4.79656288808498	4.24138677168508	4.75672182202862	5.14251070711098	4.80854172372601	4.0449430354106	4.8039777933624	4.94685774233673	4.79653546619976	4.71036085237091	4.91686943722779	4.77381054033716	4.94369184457224	5.03050741457259	5.06581228671306	4.75640202935536	4.93898677765998	4.89880901062806	5.04943694718556	5.11934171067371	4.45457082546476	4.87422129403002	4.6062864906574	4.95784783735784	4.78667151814874	5.57248502443297	3.88629973215383	4.35844555144732	3.85634996443147
ENSG00000187961	KLHL17	2.77155506421947	3.85325238483427	2.64017271417594	2.23808856069987	3.50262252091011	3.19433035077437	2.71426740986385	4.206822402727	3.82702221827304	3.49821809048199	2.97128407447602	2.9721088637911	3.07527508624123	3.34457152680858	2.98733609002337	2.47175869649133	2.00396407267512	3.12968076239751	3.48392482979944	3.34849340120384	3.51351093452555	3.64551361830962	3.20908606997267	4.34824535072154	3.93756649179934	3.56340605712876	3.34013930777931	3.39475785847843	3.78040983238188	3.41011363992482	3.68689328013467	2.77743713980092	2.6151794111891	2.39206028876966
