Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
IPF_SRR21498668	(1, 37.082836582944786)	(2, 37.079627575434785)	(3, 37.06905996684299)	(4, 37.08224480204713)	(5, 37.08928094733323)	(6, 37.10537695579267)	(7, 37.10273359579032)	(8, 37.10927623036432)	(9, 37.10127854910874)	(10, 37.10355215403928)	(12, 37.10255023010342)	(14, 37.07800730525441)	(16, 37.072971984142)	(18, 37.06910499834561)	(20, 37.030544857424005)	(22, 37.047878638264635)	(24, 37.0541144754791)	(26, 37.03917416759754)	(28, 37.02784458710539)	(30, 37.036401868472595)	(32, 37.04260800865296)	(34, 37.03547618492246)	(36, 37.0335755747402)	(38, 37.04041766340712)	(40, 37.03079960398195)	(42, 37.017327085509315)	(44, 37.01104297711579)	(46, 37.00838536253707)	(48, 36.99575764369261)	(50, 36.99351649986372)	(52, 36.9937184486524)	(54, 36.982928258420436)	(56, 36.98245482880589)	(58, 36.972610223911815)	(60, 36.96087251867907)	(62, 36.950870457524104)	(64, 36.87323841718679)	(66, 36.89976334153688)	(68, 36.90286035996953)	(70, 36.891442841672486)	(72, 36.86892682795785)	(74, 36.86143652495264)	(76, 36.84873445394993)	(78, 36.833988878021984)	(80, 36.80490148359754)	(82, 36.78473154829673)	(84, 36.777136294930756)	(86, 36.74837780715909)	(88, 36.74746962773683)
IPF_SRR21498793	(1, 36.9983469057443)	(2, 36.959555096900964)	(3, 37.01662102087539)	(4, 37.048255007529654)	(5, 37.07115663441217)	(6, 37.081591317288044)	(7, 37.08428581117228)	(8, 37.095899629710026)	(9, 37.08415331225047)	(10, 37.04294379086747)	(12, 37.07280017093932)	(14, 37.075462456587616)	(16, 37.062295572624464)	(18, 37.06004845899302)	(20, 37.07056981606479)	(22, 36.994894339965526)	(24, 37.02813507243842)	(26, 37.03685329200903)	(28, 37.03596389954278)	(30, 37.02736574075408)	(32, 37.015722987175096)	(34, 36.98349052960029)	(36, 36.952300257220735)	(38, 36.99818520992569)	(40, 37.02113920792354)	(42, 36.984952207429416)	(44, 36.99298462724465)	(46, 36.99582929530213)	(48, 36.94610776561517)	(50, 36.977569933299016)	(52, 36.98121165748003)	(54, 36.96924466825913)	(56, 36.9693653231673)	(58, 36.765964275401856)	(60, 36.84824200121331)	(62, 36.898474452705415)	(64, 36.91713910225497)	(66, 36.914128321283144)	(68, 36.81359353582417)	(70, 36.84167202839254)	(72, 36.852806412433964)	(74, 36.853040716302054)	(76, 36.84392327495533)	(78, 36.814583213575744)	(80, 36.79906407820734)	(82, 36.76601730022924)	(84, 36.699490963514464)	(86, 36.65871419950694)	(88, 36.695424483051994)
NDC_SRR21498140	(1, 37.06263604183406)	(2, 37.05918619639632)	(3, 37.05830038248057)	(4, 37.06439210129468)	(5, 37.06684979292747)	(6, 37.083851773277026)	(7, 37.08299524900818)	(8, 37.08807660693954)	(9, 37.080365513683674)	(10, 37.08041512137392)	(12, 37.080131064573116)	(14, 37.055782660265166)	(16, 37.05378001364211)	(18, 37.04623555472876)	(20, 37.008025759057034)	(22, 37.026077153151874)	(24, 37.03405752644974)	(26, 37.01766126127552)	(28, 37.00715867996047)	(30, 37.011343273342334)	(32, 37.01949832903884)	(34, 37.01436855083535)	(36, 37.013079806371685)	(38, 37.01684049148555)	(40, 37.00944234887136)	(42, 36.995213781438544)	(44, 36.98671068029823)	(46, 36.97979133105613)	(48, 36.970391597301656)	(50, 36.96783258310037)	(52, 36.96761403724479)	(54, 36.95875108638311)	(56, 36.95641967337406)	(58, 36.9456499179726)	(60, 36.935549183623074)	(62, 36.927129594218336)	(64, 36.85020220298118)	(66, 36.87292647388743)	(68, 36.879717532987954)	(70, 36.86659900072729)	(72, 36.84541145600111)	(74, 36.83432767086927)	(76, 36.823403339722105)	(78, 36.80709271753099)	(80, 36.7732329098062)	(82, 36.75296496217274)	(84, 36.745393839610344)	(86, 36.715956095218495)	(88, 36.71607271729437)
NDC_SRR21498150	(1, 36.87585439525672)	(2, 36.87235253667054)	(3, 36.86534153970901)	(4, 36.87706340024393)	(5, 36.889436801910215)	(6, 36.90096266812113)	(7, 36.90224811089471)	(8, 36.90620635626392)	(9, 36.900073133882046)	(10, 36.89996561699573)	(12, 36.89844694097659)	(14, 36.873541662233464)	(16, 36.870019924222994)	(18, 36.863927440661314)	(20, 36.82568544814942)	(22, 36.842186770271134)	(24, 36.84662338178686)	(26, 36.83087831776392)	(28, 36.81953682621351)	(30, 36.82767689047725)	(32, 36.835642239800734)	(34, 36.82680723566246)	(36, 36.82479689388195)	(38, 36.82997618388971)	(40, 36.821347393779476)	(42, 36.8078048859705)	(44, 36.79935557066267)	(46, 36.79202034309087)	(48, 36.78244378042812)	(50, 36.78163673119785)	(52, 36.78126005571226)	(54, 36.769568928716666)	(56, 36.76601397440312)	(58, 36.75728578483416)	(60, 36.746375368868954)	(62, 36.73591075582155)	(64, 36.654047288646495)	(66, 36.67913568624461)	(68, 36.68332235931337)	(70, 36.67096119465242)	(72, 36.64763966746706)	(74, 36.635309707271276)	(76, 36.622218534827496)	(78, 36.60855691685905)	(80, 36.5762129518361)	(82, 36.554192015794115)	(84, 36.54499821094552)	(86, 36.515699607571634)	(88, 36.51354241513627)
NDC_SRR21498190	(1, 36.96498039039784)	(2, 36.92300732846518)	(3, 36.97451987522355)	(4, 37.00522576902809)	(5, 37.025576242798394)	(6, 37.043864908713815)	(7, 37.04832325924922)	(8, 37.05754326607818)	(9, 37.04582388554205)	(10, 37.00503688948655)	(12, 37.03208846763767)	(14, 37.03764759837679)	(16, 37.027423844775804)	(18, 37.02612335268204)	(20, 37.031951003609464)	(22, 36.96007333652506)	(24, 36.99168960530889)	(26, 37.000429174596405)	(28, 36.99755860224257)	(30, 36.98732203290532)	(32, 36.974085665873616)	(34, 36.94256932931896)	(36, 36.91184833125382)	(38, 36.95450444141545)	(40, 36.977854102607054)	(42, 36.940781991815626)	(44, 36.95298058934689)	(46, 36.952467349623355)	(48, 36.90344288651879)	(50, 36.934019619357784)	(52, 36.93570056976964)	(54, 36.92537004260579)	(56, 36.93102616333449)	(58, 36.72461742171641)	(60, 36.806797092424475)	(62, 36.86074010007753)	(64, 36.87585030532562)	(66, 36.869998785822034)	(68, 36.77301387005246)	(70, 36.802772719849045)	(72, 36.81312902606704)	(74, 36.816518049627646)	(76, 36.80474486056592)	(78, 36.77700639469545)	(80, 36.76166070815711)	(82, 36.72654111634836)	(84, 36.665452612706176)	(86, 36.62558902436436)	(88, 36.66415070924592)
NDC_SRR21498225	(1, 36.94466702495307)	(2, 36.90287259263236)	(3, 36.96538290859642)	(4, 36.99283722279684)	(5, 37.01795563150263)	(6, 37.02906631744213)	(7, 37.03864267328107)	(8, 37.045624689093266)	(9, 37.03553403425728)	(10, 36.99649257222032)	(12, 37.02496206295294)	(14, 37.02615614471648)	(16, 37.017562982351635)	(18, 37.016787964318326)	(20, 37.02484655271179)	(22, 36.94916192965212)	(24, 36.98468368469959)	(26, 36.9908969648649)	(28, 36.99144424639063)	(30, 36.98247756759705)	(32, 36.96739569953516)	(34, 36.937368319752906)	(36, 36.90810767667641)	(38, 36.94803509797953)	(40, 36.97163074188701)	(42, 36.936257336827865)	(44, 36.94840118976977)	(46, 36.94922346848269)	(48, 36.89980478912028)	(50, 36.92966607937895)	(52, 36.93185340627123)	(54, 36.923271469267654)	(56, 36.92409825547431)	(58, 36.715919450725764)	(60, 36.800416612132835)	(62, 36.851461312873795)	(64, 36.8681785253709)	(66, 36.864692780404766)	(68, 36.76472817521574)	(70, 36.788938131093076)	(72, 36.80038282400313)	(74, 36.80534682756652)	(76, 36.79403035813049)	(78, 36.767023017731546)	(80, 36.74606037907927)	(82, 36.71250220971592)	(84, 36.65102876263377)	(86, 36.61095346868076)	(88, 36.649568242855686)
NDC_SRR21498260	(1, 36.939812696117635)	(2, 36.92665462644844)	(3, 36.921703620958255)	(4, 36.92755690421232)	(5, 36.948392902672474)	(6, 36.95910737725817)	(7, 36.9613722303485)	(8, 36.96447200058379)	(9, 36.95471327863927)	(10, 36.956024151736294)	(12, 36.9563967032295)	(14, 36.93310337166487)	(16, 36.930147038186085)	(18, 36.92552412027179)	(20, 36.88594148430306)	(22, 36.90509021743594)	(24, 36.9116680705053)	(26, 36.8934956231847)	(28, 36.88419084681456)	(30, 36.89310874278791)	(32, 36.898244694538796)	(34, 36.89084329881496)	(36, 36.890201009404784)	(38, 36.896734841718796)	(40, 36.8881196253686)	(42, 36.87275076836899)	(44, 36.8629580706737)	(46, 36.86059764231925)	(48, 36.848532262338885)	(50, 36.844367582942)	(52, 36.84692631654089)	(54, 36.83587482678435)	(56, 36.83426435759014)	(58, 36.825187341910016)	(60, 36.81180330800625)	(62, 36.79983127284417)	(64, 36.724536406500576)	(66, 36.7471652073822)	(68, 36.749998750291475)	(70, 36.73799765137918)	(72, 36.71811630826445)	(74, 36.70570853150092)	(76, 36.692397204746314)	(78, 36.67947677655836)	(80, 36.64873560098194)	(82, 36.62768887289936)	(84, 36.61671094256197)	(86, 36.586709120732024)	(88, 36.581768059849416)
NDC_SRR21498370	(1, 36.89634607479876)	(2, 36.867574869701194)	(3, 36.900847399363094)	(4, 36.924421865331816)	(5, 36.967675071421155)	(6, 36.97411928539351)	(7, 36.98589189038956)	(8, 36.99671864966114)	(9, 36.98867559656593)	(10, 36.957342445594854)	(12, 36.98872957384282)	(14, 36.98794419715018)	(16, 36.96441200606769)	(18, 36.95003547287166)	(20, 36.95390135762359)	(22, 36.87606553923885)	(24, 36.90268379701618)	(26, 36.9032184499891)	(28, 36.8993948401234)	(30, 36.884655825376925)	(32, 36.86887983253879)	(34, 36.8382508729252)	(36, 36.80718716949889)	(38, 36.84727034424045)	(40, 36.87035755191839)	(42, 36.83399368948584)	(44, 36.83937766686512)	(46, 36.84125502288549)	(48, 36.78863185888087)	(50, 36.81608079714307)	(52, 36.82161595815408)	(54, 36.81242218263756)	(56, 36.81166204130396)	(58, 36.609186932254886)	(60, 36.68901067150303)	(62, 36.73741696714792)	(64, 36.75954679017825)	(66, 36.758481720908776)	(68, 36.65061753878884)	(70, 36.67557308436082)	(72, 36.68412147292587)	(74, 36.68687937671369)	(76, 36.67517638040252)	(78, 36.647466292616286)	(80, 36.626781726451796)	(82, 36.58990537557513)	(84, 36.51885110581128)	(86, 36.46631651694018)	(88, 36.500175105965546)
NDC_SRR21498400	(1, 36.96071805410728)	(2, 36.94966911779204)	(3, 36.95330665319139)	(4, 36.952884987519035)	(5, 36.97247314662867)	(6, 36.982466932904735)	(7, 36.97994200899891)	(8, 36.9841921849042)	(9, 36.97701710830301)	(10, 36.977031051155905)	(12, 36.97367758377965)	(14, 36.94439181839026)	(16, 36.94136537429095)	(18, 36.9353027683464)	(20, 36.89617236295584)	(22, 36.91166625260619)	(24, 36.91266563123379)	(26, 36.89839265665147)	(28, 36.88691754788314)	(30, 36.892005985004815)	(32, 36.897280185994845)	(34, 36.889221639533034)	(36, 36.88497723794056)	(38, 36.889816957100514)	(40, 36.8803270852452)	(42, 36.8619112524738)	(44, 36.85122567535518)	(46, 36.8430631912627)	(48, 36.833001521601844)	(50, 36.826678979948134)	(52, 36.82666265375685)	(54, 36.81144844515984)	(56, 36.807347465173976)	(58, 36.79854444007401)	(60, 36.78363336441497)	(62, 36.77371598842137)	(64, 36.690475765402276)	(66, 36.709652892758996)	(68, 36.70653193933163)	(70, 36.6940912361333)	(72, 36.66753578219405)	(74, 36.65831900218869)	(76, 36.64134880079854)	(78, 36.62691695364592)	(80, 36.58959788073855)	(82, 36.56915509976159)	(84, 36.555600882302365)	(86, 36.52472726248919)	(88, 36.52368387273339)
NDC_SRR21498528	(1, 36.89022571240403)	(2, 36.87049031108223)	(3, 36.86753143433253)	(4, 36.87649446967579)	(5, 36.87802149057946)	(6, 36.902949957514174)	(7, 36.90378016314237)	(8, 36.90882630027721)	(9, 36.903626863781774)	(10, 36.903195435581225)	(12, 36.9032358508672)	(14, 36.88141498097097)	(16, 36.8729606207788)	(18, 36.86783245853153)	(20, 36.82980884167003)	(22, 36.84593553622524)	(24, 36.851687845869236)	(26, 36.83588925176374)	(28, 36.824127009913894)	(30, 36.82871981893952)	(32, 36.83879357783188)	(34, 36.83392881175874)	(36, 36.83185250132793)	(38, 36.838218207504426)	(40, 36.82587462262475)	(42, 36.81344264175014)	(44, 36.80550711030307)	(46, 36.7985662328892)	(48, 36.78874551748687)	(50, 36.7849243467561)	(52, 36.785862879861)	(54, 36.77315223287336)	(56, 36.77217203412471)	(58, 36.761611121502966)	(60, 36.74982653628177)	(62, 36.74234022179489)	(64, 36.66689926354397)	(66, 36.68713764044631)	(68, 36.690553642547954)	(70, 36.678443546136606)	(72, 36.65444442714412)	(74, 36.64642015150888)	(76, 36.63336260723779)	(78, 36.61530052447917)	(80, 36.58211380515772)	(82, 36.56034640767844)	(84, 36.55305907467765)	(86, 36.52109440957077)	(88, 36.52298105982663)
