Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
IPF_SRR21498365	(14.0, 2.0)	(15.0, 484.0)	(16.0, 1627.0)	(17.0, 1188.0)	(18.0, 854.0)	(19.0, 799.0)	(20.0, 869.0)	(21.0, 1253.0)	(22.0, 1940.0)	(23.0, 2962.0)	(24.0, 4460.0)	(25.0, 6568.0)	(26.0, 9133.0)	(27.0, 12494.0)	(28.0, 17008.0)	(29.0, 22360.0)	(30.0, 28692.0)	(31.0, 37763.0)	(32.0, 48724.0)	(33.0, 65240.0)	(34.0, 90103.0)	(35.0, 135698.0)	(36.0, 268329.0)	(37.0, 2375995.0)	(38.0, 356822.0)
IPF_SRR21498375	(14.0, 12.0)	(15.0, 1893.0)	(16.0, 6916.0)	(17.0, 5001.0)	(18.0, 3030.0)	(19.0, 2651.0)	(20.0, 2553.0)	(21.0, 3005.0)	(22.0, 3841.0)	(23.0, 5172.0)	(24.0, 6877.0)	(25.0, 9607.0)	(26.0, 13006.0)	(27.0, 17073.0)	(28.0, 21928.0)	(29.0, 28010.0)	(30.0, 35223.0)	(31.0, 45565.0)	(32.0, 57026.0)	(33.0, 73965.0)	(34.0, 100581.0)	(35.0, 148968.0)	(36.0, 274357.0)	(37.0, 2570818.0)	(38.0, 399572.0)
IPF_SRR21498421	(14.0, 3.0)	(15.0, 633.0)	(16.0, 2041.0)	(17.0, 1693.0)	(18.0, 1237.0)	(19.0, 1187.0)	(20.0, 1301.0)	(21.0, 1805.0)	(22.0, 2434.0)	(23.0, 3492.0)	(24.0, 4860.0)	(25.0, 6950.0)	(26.0, 9362.0)	(27.0, 12831.0)	(28.0, 16844.0)	(29.0, 22159.0)	(30.0, 28328.0)	(31.0, 37773.0)	(32.0, 47774.0)	(33.0, 62456.0)	(34.0, 86666.0)	(35.0, 131520.0)	(36.0, 260126.0)	(37.0, 2217867.0)	(38.0, 311026.0)
IPF_SRR21498538	(14.0, 9.0)	(15.0, 1750.0)	(16.0, 6821.0)	(17.0, 5291.0)	(18.0, 3550.0)	(19.0, 2905.0)	(20.0, 2862.0)	(21.0, 3351.0)	(22.0, 4148.0)	(23.0, 5397.0)	(24.0, 7418.0)	(25.0, 9938.0)	(26.0, 13488.0)	(27.0, 17110.0)	(28.0, 22504.0)	(29.0, 28445.0)	(30.0, 35900.0)	(31.0, 45481.0)	(32.0, 57766.0)	(33.0, 74859.0)	(34.0, 102257.0)	(35.0, 151106.0)	(36.0, 279448.0)	(37.0, 2536252.0)	(38.0, 357297.0)
IPF_SRR21498628	(14.0, 4.0)	(15.0, 931.0)	(16.0, 2625.0)	(17.0, 1629.0)	(18.0, 1068.0)	(19.0, 898.0)	(20.0, 1010.0)	(21.0, 1420.0)	(22.0, 2166.0)	(23.0, 3256.0)	(24.0, 4897.0)	(25.0, 6959.0)	(26.0, 9466.0)	(27.0, 12932.0)	(28.0, 17315.0)	(29.0, 22905.0)	(30.0, 29463.0)	(31.0, 39281.0)	(32.0, 49615.0)	(33.0, 64906.0)	(34.0, 90399.0)	(35.0, 137822.0)	(36.0, 280885.0)	(37.0, 2346610.0)	(38.0, 294169.0)
IPF_SRR21498633	(14.0, 7.0)	(15.0, 1119.0)	(16.0, 3557.0)	(17.0, 2518.0)	(18.0, 1823.0)	(19.0, 1625.0)	(20.0, 1783.0)	(21.0, 2227.0)	(22.0, 3185.0)	(23.0, 4281.0)	(24.0, 6292.0)	(25.0, 8835.0)	(26.0, 12073.0)	(27.0, 16375.0)	(28.0, 21661.0)	(29.0, 28026.0)	(30.0, 36522.0)	(31.0, 47428.0)	(32.0, 59633.0)	(33.0, 78955.0)	(34.0, 108424.0)	(35.0, 164713.0)	(36.0, 327433.0)	(37.0, 2616336.0)	(38.0, 301361.0)
IPF_SRR21498643	(14.0, 5.0)	(15.0, 1191.0)	(16.0, 3588.0)	(17.0, 2364.0)	(18.0, 1666.0)	(19.0, 1429.0)	(20.0, 1529.0)	(21.0, 1918.0)	(22.0, 2759.0)	(23.0, 3867.0)	(24.0, 5659.0)	(25.0, 7914.0)	(26.0, 11068.0)	(27.0, 14838.0)	(28.0, 19642.0)	(29.0, 25283.0)	(30.0, 32790.0)	(31.0, 43188.0)	(32.0, 54191.0)	(33.0, 70772.0)	(34.0, 99170.0)	(35.0, 150819.0)	(36.0, 304093.0)	(37.0, 2503963.0)	(38.0, 288955.0)
IPF_SRR21498668	(14.0, 8.0)	(15.0, 921.0)	(16.0, 3232.0)	(17.0, 2242.0)	(18.0, 1454.0)	(19.0, 1215.0)	(20.0, 1360.0)	(21.0, 1858.0)	(22.0, 2777.0)	(23.0, 4010.0)	(24.0, 6386.0)	(25.0, 9034.0)	(26.0, 13089.0)	(27.0, 17908.0)	(28.0, 23663.0)	(29.0, 30759.0)	(30.0, 39772.0)	(31.0, 51518.0)	(32.0, 66049.0)	(33.0, 86550.0)	(34.0, 118295.0)	(35.0, 176808.0)	(36.0, 328573.0)	(37.0, 3164816.0)	(38.0, 477795.0)
IPF_SRR21498748	(14.0, 1.0)	(15.0, 627.0)	(16.0, 1882.0)	(17.0, 1363.0)	(18.0, 897.0)	(19.0, 861.0)	(20.0, 948.0)	(21.0, 1416.0)	(22.0, 2072.0)	(23.0, 3103.0)	(24.0, 4732.0)	(25.0, 6987.0)	(26.0, 9800.0)	(27.0, 13416.0)	(28.0, 17833.0)	(29.0, 23785.0)	(30.0, 31099.0)	(31.0, 40894.0)	(32.0, 51869.0)	(33.0, 68790.0)	(34.0, 94848.0)	(35.0, 143518.0)	(36.0, 285679.0)	(37.0, 2463452.0)	(38.0, 335264.0)
IPF_SRR21498828	(14.0, 11.0)	(15.0, 1669.0)	(16.0, 6193.0)	(17.0, 4487.0)	(18.0, 2982.0)	(19.0, 2423.0)	(20.0, 2380.0)	(21.0, 2853.0)	(22.0, 3525.0)	(23.0, 4601.0)	(24.0, 6369.0)	(25.0, 9143.0)	(26.0, 12290.0)	(27.0, 16066.0)	(28.0, 21142.0)	(29.0, 27424.0)	(30.0, 34774.0)	(31.0, 44043.0)	(32.0, 56244.0)	(33.0, 73416.0)	(34.0, 100285.0)	(35.0, 148291.0)	(36.0, 276590.0)	(37.0, 2523786.0)	(38.0, 358322.0)
NDC_SRR21498140	(14.0, 4.0)	(15.0, 751.0)	(16.0, 2860.0)	(17.0, 2026.0)	(18.0, 1424.0)	(19.0, 1235.0)	(20.0, 1305.0)	(21.0, 1695.0)	(22.0, 2340.0)	(23.0, 3537.0)	(24.0, 5242.0)	(25.0, 7762.0)	(26.0, 10887.0)	(27.0, 14874.0)	(28.0, 19552.0)	(29.0, 25821.0)	(30.0, 33202.0)	(31.0, 42478.0)	(32.0, 55214.0)	(33.0, 71526.0)	(34.0, 98440.0)	(35.0, 146893.0)	(36.0, 275402.0)	(37.0, 2595909.0)	(38.0, 369356.0)
NDC_SRR21498150	(14.0, 11.0)	(15.0, 1958.0)	(16.0, 7596.0)	(17.0, 5861.0)	(18.0, 3919.0)	(19.0, 3073.0)	(20.0, 3056.0)	(21.0, 3375.0)	(22.0, 4184.0)	(23.0, 5553.0)	(24.0, 7168.0)	(25.0, 9666.0)	(26.0, 12901.0)	(27.0, 16785.0)	(28.0, 21303.0)	(29.0, 27299.0)	(30.0, 34192.0)	(31.0, 43228.0)	(32.0, 54379.0)	(33.0, 70942.0)	(34.0, 96221.0)	(35.0, 142035.0)	(36.0, 261077.0)	(37.0, 2381481.0)	(38.0, 354269.0)
NDC_SRR21498180	(14.0, 3.0)	(15.0, 889.0)	(16.0, 3327.0)	(17.0, 2390.0)	(18.0, 1600.0)	(19.0, 1313.0)	(20.0, 1421.0)	(21.0, 1633.0)	(22.0, 2198.0)	(23.0, 2841.0)	(24.0, 4104.0)	(25.0, 5784.0)	(26.0, 7869.0)	(27.0, 10630.0)	(28.0, 13848.0)	(29.0, 17733.0)	(30.0, 23230.0)	(31.0, 29926.0)	(32.0, 37852.0)	(33.0, 49402.0)	(34.0, 67279.0)	(35.0, 100469.0)	(36.0, 185624.0)	(37.0, 1621921.0)	(38.0, 220948.0)
NDC_SRR21498190	(14.0, 6.0)	(15.0, 733.0)	(16.0, 2301.0)	(17.0, 1698.0)	(18.0, 1243.0)	(19.0, 1158.0)	(20.0, 1311.0)	(21.0, 1840.0)	(22.0, 2519.0)	(23.0, 3605.0)	(24.0, 5241.0)	(25.0, 7260.0)	(26.0, 9964.0)	(27.0, 13394.0)	(28.0, 17362.0)	(29.0, 22231.0)	(30.0, 28736.0)	(31.0, 37743.0)	(32.0, 47192.0)	(33.0, 62615.0)	(34.0, 85995.0)	(35.0, 132359.0)	(36.0, 265878.0)	(37.0, 2246159.0)	(38.0, 278678.0)
NDC_SRR21498195	(14.0, 4.0)	(15.0, 643.0)	(16.0, 1992.0)	(17.0, 1426.0)	(18.0, 999.0)	(19.0, 940.0)	(20.0, 1115.0)	(21.0, 1501.0)	(22.0, 2238.0)	(23.0, 3194.0)	(24.0, 4656.0)	(25.0, 6695.0)	(26.0, 9160.0)	(27.0, 12412.0)	(28.0, 16469.0)	(29.0, 21358.0)	(30.0, 27540.0)	(31.0, 36276.0)	(32.0, 46258.0)	(33.0, 60585.0)	(34.0, 84267.0)	(35.0, 128276.0)	(36.0, 258948.0)	(37.0, 2181495.0)	(38.0, 265773.0)
NDC_SRR21498225	(14.0, 5.0)	(15.0, 1044.0)	(16.0, 3054.0)	(17.0, 2169.0)	(18.0, 1479.0)	(19.0, 1419.0)	(20.0, 1530.0)	(21.0, 2105.0)	(22.0, 2920.0)	(23.0, 4089.0)	(24.0, 5755.0)	(25.0, 7936.0)	(26.0, 10690.0)	(27.0, 14253.0)	(28.0, 18772.0)	(29.0, 24181.0)	(30.0, 30948.0)	(31.0, 40429.0)	(32.0, 50855.0)	(33.0, 66442.0)	(34.0, 91296.0)	(35.0, 139309.0)	(36.0, 278922.0)	(37.0, 2390711.0)	(38.0, 311541.0)
NDC_SRR21498320	(14.0, 9.0)	(15.0, 903.0)	(16.0, 2893.0)	(17.0, 1973.0)	(18.0, 1401.0)	(19.0, 1210.0)	(20.0, 1358.0)	(21.0, 1793.0)	(22.0, 2602.0)	(23.0, 3585.0)	(24.0, 5190.0)	(25.0, 7169.0)	(26.0, 10017.0)	(27.0, 13439.0)	(28.0, 17517.0)	(29.0, 23181.0)	(30.0, 29765.0)	(31.0, 38980.0)	(32.0, 48860.0)	(33.0, 63943.0)	(34.0, 89267.0)	(35.0, 134861.0)	(36.0, 271529.0)	(37.0, 2275771.0)	(38.0, 292504.0)
NDC_SRR21498385	(14.0, 1.0)	(15.0, 720.0)	(16.0, 2218.0)	(17.0, 1740.0)	(18.0, 1257.0)	(19.0, 1123.0)	(20.0, 1305.0)	(21.0, 1716.0)	(22.0, 2434.0)	(23.0, 3505.0)	(24.0, 5171.0)	(25.0, 7335.0)	(26.0, 10087.0)	(27.0, 13579.0)	(28.0, 17902.0)	(29.0, 23582.0)	(30.0, 30262.0)	(31.0, 39985.0)	(32.0, 50802.0)	(33.0, 66971.0)	(34.0, 91785.0)	(35.0, 139196.0)	(36.0, 275834.0)	(37.0, 2323534.0)	(38.0, 308174.0)
NDC_SRR21498400	(14.0, 5.0)	(15.0, 1255.0)	(16.0, 4829.0)	(17.0, 3600.0)	(18.0, 2297.0)	(19.0, 1947.0)	(20.0, 1949.0)	(21.0, 2413.0)	(22.0, 3232.0)	(23.0, 4473.0)	(24.0, 6396.0)	(25.0, 8971.0)	(26.0, 12516.0)	(27.0, 15924.0)	(28.0, 21078.0)	(29.0, 26951.0)	(30.0, 34634.0)	(31.0, 44158.0)	(32.0, 55408.0)	(33.0, 72642.0)	(34.0, 98555.0)	(35.0, 146426.0)	(36.0, 270143.0)	(37.0, 2388217.0)	(38.0, 322187.0)
NDC_SRR21498523	(14.0, 4.0)	(15.0, 1227.0)	(16.0, 4241.0)	(17.0, 3057.0)	(18.0, 1930.0)	(19.0, 1626.0)	(20.0, 1740.0)	(21.0, 2281.0)	(22.0, 3388.0)	(23.0, 5012.0)	(24.0, 7051.0)	(25.0, 10584.0)	(26.0, 14916.0)	(27.0, 20164.0)	(28.0, 26535.0)	(29.0, 34647.0)	(30.0, 44096.0)	(31.0, 57775.0)	(32.0, 73436.0)	(33.0, 95881.0)	(34.0, 131282.0)	(35.0, 195622.0)	(36.0, 363651.0)	(37.0, 3457189.0)	(38.0, 501809.0)
NDC_SRR21498578	(14.0, 2.0)	(15.0, 1484.0)	(16.0, 5924.0)	(17.0, 4339.0)	(18.0, 2812.0)	(19.0, 2242.0)	(20.0, 2350.0)	(21.0, 2791.0)	(22.0, 3601.0)	(23.0, 4697.0)	(24.0, 6381.0)	(25.0, 8758.0)	(26.0, 11676.0)	(27.0, 15445.0)	(28.0, 20282.0)	(29.0, 26158.0)	(30.0, 32839.0)	(31.0, 42394.0)	(32.0, 52989.0)	(33.0, 69148.0)	(34.0, 93457.0)	(35.0, 138015.0)	(36.0, 253039.0)	(37.0, 2457560.0)	(38.0, 409452.0)
NDC_SRR21498623	(14.0, 17.0)	(15.0, 2216.0)	(16.0, 6189.0)	(17.0, 3694.0)	(18.0, 2388.0)	(19.0, 1837.0)	(20.0, 1940.0)	(21.0, 2496.0)	(22.0, 3306.0)	(23.0, 4562.0)	(24.0, 6266.0)	(25.0, 8700.0)	(26.0, 11905.0)	(27.0, 15706.0)	(28.0, 20878.0)	(29.0, 26697.0)	(30.0, 34433.0)	(31.0, 44938.0)	(32.0, 56041.0)	(33.0, 73875.0)	(34.0, 101792.0)	(35.0, 153818.0)	(36.0, 308970.0)	(37.0, 2553607.0)	(38.0, 315593.0)
NDC_SRR21498663	(14.0, 5.0)	(15.0, 900.0)	(16.0, 2911.0)	(17.0, 2129.0)	(18.0, 1556.0)	(19.0, 1392.0)	(20.0, 1524.0)	(21.0, 2092.0)	(22.0, 2813.0)	(23.0, 4000.0)	(24.0, 5748.0)	(25.0, 8023.0)	(26.0, 10916.0)	(27.0, 14673.0)	(28.0, 19095.0)	(29.0, 24629.0)	(30.0, 31815.0)	(31.0, 41809.0)	(32.0, 52987.0)	(33.0, 69428.0)	(34.0, 96274.0)	(35.0, 146529.0)	(36.0, 296847.0)	(37.0, 2435457.0)	(38.0, 284907.0)
NDC_SRR21498728	(14.0, 17.0)	(15.0, 3093.0)	(16.0, 10739.0)	(17.0, 6934.0)	(18.0, 3972.0)	(19.0, 2954.0)	(20.0, 2862.0)	(21.0, 3295.0)	(22.0, 4052.0)	(23.0, 5433.0)	(24.0, 7154.0)	(25.0, 9260.0)	(26.0, 11995.0)	(27.0, 15667.0)	(28.0, 19784.0)	(29.0, 25314.0)	(30.0, 32195.0)	(31.0, 40875.0)	(32.0, 50193.0)	(33.0, 64007.0)	(34.0, 86990.0)	(35.0, 128669.0)	(36.0, 240420.0)	(37.0, 2102239.0)	(38.0, 257089.0)
