Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
IPF_SRR21498668	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0007235277398375669)	(18, 0.012829118730254172)	(20, 0.01723507869822025)	(22, 0.006360564757676521)	(24, 0.0020733929261016843)	(26, 0.0007883212687782446)	(28, 0.0068789129892019435)	(30, 0.00518348231525421)	(32, 0.003920008500910998)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 4.319568596045176e-05)	(48, 0.0015442457730861503)	(50, 7.559821406779085e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00018474258782852801)	(68, 0.00022861783643700193)	(70, 1.0909848647669711e-05)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0003123500301529333)	(82, 0.0006960637594403648)	(84, 0.0)	(86, 0.0)	(88, 0.0)
IPF_SRR21498793	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.001544947902523738)	(18, 0.00729267781106544)	(20, 0.005577523783687393)	(22, 0.0)	(24, 0.0)	(26, 0.0001702061248543101)	(28, 0.002435256863300129)	(30, 0.0018460818157275175)	(32, 0.0013092778834946932)	(34, 0.0012699995469898522)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.48891163886566724)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00047477369120719126)	(68, 0.0)	(70, 0.0005431181499223341)	(72, 0.0)	(74, 0.0)	(76, 0.00010719166284684711)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498140	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0005805155241725346)	(18, 0.012744954462515189)	(20, 0.017745304091183155)	(22, 0.006821057409027279)	(24, 0.001899868988201022)	(26, 0.0008707732862588016)	(28, 0.00738837939855953)	(30, 0.005963477657408764)	(32, 0.0038393185803228987)	(34, 1.3193534640284874e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 3.9580603920854627e-05)	(48, 0.001477675879711906)	(50, 2.6388493244743642e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0002651491298136996)	(68, 0.0001991509266625385)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.341608193791547e-05)	(78, 0.0)	(80, 0.00020343261342148022)	(82, 0.000873031841790261)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498150	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0006439813503000953)	(18, 0.012543636736280119)	(20, 0.01723350091781342)	(22, 0.006453813097572694)	(24, 0.0019599432400437683)	(26, 0.000965972025450143)	(28, 0.007083794853301048)	(30, 0.005879829720131305)	(32, 0.00419987837152236)	(34, 2.7999189143482402e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 5.5998378286964804e-05)	(48, 0.0012739631060284494)	(50, 2.8000714018207464e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00022503946629640176)	(68, 0.00016901003778782762)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.4229961297351264e-05)	(78, 0.0)	(80, 0.0001582326733784172)	(82, 0.0008968443807202759)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498190	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0015256828880322688)	(18, 0.007704698584562957)	(20, 0.005553485712437458)	(22, 0.0)	(24, 0.0)	(26, 9.154097328193613e-05)	(28, 0.0027614860273384063)	(30, 0.002151212872125499)	(32, 0.0015714533746732369)	(34, 0.001556196545792914)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 1.5291625831654186e-05)	(58, 0.49270728316486245)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0005088656736487149)	(68, 0.0)	(70, 0.0004965854320145835)	(72, 0.0)	(74, 0.0)	(76, 0.00011034282728273695)	(78, 0.0)	(80, 0.0)	(82, 1.6191426704325768e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498225	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0016990999624770192)	(18, 0.007895817472687326)	(20, 0.005854041887525865)	(22, 0.0)	(24, 0.0)	(26, 9.994705661629525e-05)	(28, 0.002255947849339236)	(30, 0.0014420932454636886)	(32, 0.0010708613208888777)	(34, 0.0009566361133273973)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.4948452721570157)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0005203155771788432)	(68, 0.0)	(70, 0.0005239125322206207)	(72, 0.0)	(74, 0.0)	(76, 0.00011837525815054344)	(78, 0.0)	(80, 0.0)	(82, 1.5211769893990696e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498260	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0009158680641828522)	(18, 0.013294858996202693)	(20, 0.017298088760614838)	(22, 0.006617885366998674)	(24, 0.0019499126527763948)	(26, 0.0009306401297341886)	(28, 0.007356488644565491)	(30, 0.005820193827226512)	(32, 0.003752104650039427)	(34, 5.908826220534531e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 4.4316196654008975e-05)	(48, 0.0016101551450956595)	(50, 1.4772920999441286e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0003117433265774101)	(68, 0.0001635273868234389)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.00012148203220002745)	(82, 0.0008858219763574114)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498370	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.001535938773092108)	(18, 0.008060021561654777)	(20, 0.005441611653240612)	(22, 0.0)	(24, 0.0)	(26, 1.4627988315162933e-05)	(28, 0.002720805826620306)	(30, 0.0021064303173834627)	(32, 0.0015213107847769451)	(34, 0.0014481708432011306)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.48714602128622686)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00045793010863874806)	(68, 0.0)	(70, 0.00020799305422052075)	(72, 0.0)	(74, 0.0)	(76, 1.5067493329620703e-05)	(78, 0.0)	(80, 0.0)	(82, 3.086684598246393e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498400	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0006055986610354441)	(18, 0.013590760648818687)	(20, 0.0177031980679431)	(22, 0.006112321369520529)	(24, 0.0017886286035232884)	(26, 0.0008309376976997954)	(28, 0.0074502718997151145)	(30, 0.005563057467651173)	(32, 0.0031688302030924405)	(34, 4.2251069374565865e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 8.450213874913173e-05)	(48, 0.0014647037383182834)	(50, 4.2258288575936524e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.000242368286024232)	(68, 0.00015731817701412676)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 4.3788377776347356e-05)	(78, 0.0)	(80, 0.00022293104386123701)	(82, 0.000810257499833447)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498528	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0008560873384284467)	(18, 0.013060309163001417)	(20, 0.017738926012552232)	(22, 0.0064903365657598515)	(24, 0.0017519926925977512)	(26, 0.0009755413856510206)	(28, 0.006948243746779719)	(30, 0.005076797006959392)	(32, 0.0033248043143616415)	(34, 3.981801574085798e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 3.981801574085798e-05)	(48, 0.0016126296375047484)	(50, 7.964351562406667e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00022088969953177405)	(68, 8.052020886136976e-05)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 2.0486425591970635e-05)	(78, 0.0)	(80, 0.00022898381355055433)	(82, 0.0007769611286347344)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498546	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0016360289833715898)	(18, 0.008121294953427316)	(20, 0.00555543654785173)	(22, 1.1769992686126546e-05)	(24, 0.0)	(26, 9.415994148901237e-05)	(28, 0.0026011683836339667)	(30, 0.002083288705444398)	(32, 0.001341779166218426)	(34, 0.0013300091735322995)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 3.543710009232546e-05)	(58, 0.48611963921449486)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00035853264063233684)	(68, 0.0)	(70, 0.0003493923705236211)	(72, 0.0)	(74, 0.0)	(76, 3.68379710087624e-05)	(78, 0.0)	(80, 0.0)	(82, 1.2655040059529309e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498683	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0008113558916028529)	(18, 0.012788514291454492)	(20, 0.017308925687527527)	(22, 0.006606755117337516)	(24, 0.0020219503965340935)	(26, 0.0008886278812793152)	(28, 0.007263567029587446)	(30, 0.005383281947460198)	(32, 0.003451482205548644)	(34, 2.575732989215406e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 5.151465978430812e-05)	(48, 0.0015454397935292436)	(50, 1.2879502593609835e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.000181310864600284)	(68, 0.00023349356180418917)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.312569361087175e-05)	(78, 0.0)	(80, 0.00022579455776674837)	(82, 0.0008152973302487472)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498728	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.000685761236437078)	(18, 0.012917827942186818)	(20, 0.01779789627590184)	(22, 0.00636322635670684)	(24, 0.0020572837093112343)	(26, 0.0007017091721681729)	(28, 0.007734748829580997)	(30, 0.005071443562488159)	(32, 0.003444754117916485)	(34, 4.784380719328452e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 6.379174292437935e-05)	(48, 0.001578845637378389)	(50, 4.785198805869588e-05)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00011313674369501049)	(68, 0.0001783853691563588)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.00020296937428939576)	(82, 0.0004272091197185205)	(84, 0.0)	(86, 0.0)	(88, 0.0)
NDC_SRR21498778	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.001784521064288363)	(18, 0.008426905025806158)	(20, 0.006217497993830089)	(22, 1.4162865589590179e-05)	(24, 0.0)	(26, 5.6651462358360715e-05)	(28, 0.002436012881409511)	(30, 0.001897823989005084)	(32, 0.0014304494245486084)	(34, 0.001260495037473526)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.49643976488203295)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0004584730840481454)	(68, 0.0)	(70, 0.00043258064781259107)	(72, 0.0)	(74, 0.0)	(76, 4.394410017497076e-05)	(78, 0.0)	(80, 0.0)	(82, 1.5037478659938097e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)
