Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
IPF_SRR21498668 - polya	(1, 0.023260876889703273)	(2, 0.026932510196341672)	(3, 0.029265077238206066)	(4, 0.03211599251159588)	(5, 0.0349669077849857)	(6, 0.03788261658731619)	(7, 0.04017198794322013)	(8, 0.043390066547273794)	(9, 0.04641376456450541)	(10, 0.05119768678462545)	(12, 0.05675913135203361)	(14, 0.06428597963064234)	(16, 0.07238517074822703)	(18, 0.07922088805146853)	(20, 0.08527908300742187)	(22, 0.09193121864533145)	(24, 0.09725508693995713)	(26, 0.10251416170564213)	(28, 0.1080756062730503)	(30, 0.11318349613787371)	(32, 0.11835617953163782)	(34, 0.12419839605778893)	(36, 0.12891752474896828)	(38, 0.13282673432838915)	(40, 0.13701671586655295)	(42, 0.1417898391651829)	(44, 0.147156903145769)	(46, 0.15153046634926476)	(48, 0.15540727916421532)	(50, 0.159392081194067)	(52, 0.17208081394494967)	(54, 0.19325749898706118)	(56, 0.19676714847134785)	(58, 0.20020120550520376)	(60, 0.20407801832015432)	(62, 0.2075444721184806)	(64, 0.21152927414833225)	(66, 0.21595683195927856)	(68, 0.21902372566247064)	(70, 0.22144268407625595)	(72, 0.22320290827914435)	(74, 0.22419640905623472)	(76, 0.2242720015066655)
IPF_SRR21498793 - polya	(1, 0.035559987315715864)	(2, 0.041399366676102195)	(3, 0.04579854036464436)	(4, 0.05061668297590483)	(5, 0.0558799800675535)	(6, 0.060436267102115034)	(7, 0.06562100752075402)	(8, 0.07015110899764565)	(9, 0.07619997281939114)	(10, 0.08405564012035929)	(12, 0.09464769819783136)	(14, 0.10902356935860309)	(16, 0.12455160505685015)	(18, 0.13751345610344762)	(20, 0.14843283365179338)	(22, 0.16020324182441065)	(24, 0.1705858154405236)	(26, 0.17964601839430683)	(28, 0.18920374694381809)	(30, 0.19878766105099926)	(32, 0.20796569901429707)	(34, 0.21790311815002178)	(36, 0.22632177494089264)	(38, 0.233640638309628)	(40, 0.24095950167836333)	(42, 0.24992805518030198)	(44, 0.25960361873932775)	(46, 0.26742000770379104)	(48, 0.2742020671402936)	(50, 0.2819660849894171)	(52, 0.3042761801241667)	(54, 0.34767874196201576)	(56, 0.35459172918686777)	(58, 0.36146543807521486)	(60, 0.3686402808767658)	(62, 0.3760377009185108)	(64, 0.3832387292777316)	(66, 0.3902302731755933)	(68, 0.39524480746937796)	(70, 0.3992250122352018)	(72, 0.4025374852804434)	(74, 0.4041609898559768)	(76, 0.4042788248654913)
NDC_SRR21498140 - polya	(1, 0.0188403674663268)	(2, 0.02200681577999517)	(3, 0.024065007183879612)	(4, 0.026809262389058865)	(5, 0.028920227931504446)	(6, 0.03145338658243914)	(7, 0.032983836600712184)	(8, 0.03562254352876916)	(9, 0.038366798733948416)	(10, 0.04231166559139359)	(12, 0.04661275788412646)	(14, 0.053222718738909186)	(16, 0.05912022872311652)	(18, 0.06551909302365469)	(20, 0.07059860386016437)	(22, 0.07563853409275319)	(24, 0.08045417423645718)	(26, 0.08549410446904598)	(28, 0.08983477736569971)	(30, 0.09397754724274916)	(32, 0.09790922056555405)	(34, 0.10193324863084094)	(36, 0.10590450255756668)	(38, 0.1088598543169905)	(40, 0.11246168927378827)	(42, 0.11659126561619744)	(44, 0.12025906824619663)	(46, 0.12382132259907355)	(48, 0.127687028248677)	(50, 0.13122289553227334)	(52, 0.13867724260403433)	(54, 0.15171245482863577)	(56, 0.15478654839982214)	(58, 0.15793980317885023)	(60, 0.16111944502715891)	(62, 0.1644442157565107)	(64, 0.16759747053553875)	(66, 0.17073753177992657)	(68, 0.17317833568837926)	(70, 0.17527610769618457)	(72, 0.1771627831497453)	(74, 0.17808633057456524)	(76, 0.17827104005952923)
NDC_SRR21498150 - polya	(1, 0.02505927428341675)	(2, 0.028615171304639017)	(3, 0.03172308129956557)	(4, 0.0342150091333355)	(5, 0.037266920749975084)	(6, 0.039954842907749394)	(7, 0.04241877155237584)	(8, 0.045918670195311144)	(9, 0.04939056964910296)	(10, 0.054248428965497156)	(12, 0.06147221976451561)	(14, 0.07043196029043)	(16, 0.07846772757460943)	(18, 0.0861675045890671)	(20, 0.09301330633464855)	(22, 0.1006430853762475)	(24, 0.10719489563582238)	(26, 0.11311672413966892)	(28, 0.11976653156124598)	(30, 0.12629034263167738)	(32, 0.13266015816181964)	(34, 0.13943596193454239)	(36, 0.14432182044008007)	(38, 0.14912368137818727)	(40, 0.1534075573171401)	(42, 0.15896539636212137)	(44, 0.16499922162254183)	(46, 0.17030506796523173)	(48, 0.17479893782276065)	(50, 0.17968479632829834)	(52, 0.19192044198400016)	(54, 0.20705400371605237)	(56, 0.21186986424873136)	(58, 0.2166437259976951)	(60, 0.2208576039637892)	(62, 0.2251694790918855)	(64, 0.22994334084084925)	(66, 0.23473120218438476)	(68, 0.23768511663902214)	(70, 0.2408070262285204)	(72, 0.2428089682522794)	(74, 0.2441949281148818)	(76, 0.24432092446602746)
NDC_SRR21498190 - polya	(1, 0.03823361317408865)	(2, 0.044824563250388055)	(3, 0.049310070941202926)	(4, 0.054497392760512645)	(5, 0.05922700971341267)	(6, 0.06337686716886044)	(7, 0.06743518365102628)	(8, 0.07338534691435213)	(9, 0.0782065048405341)	(10, 0.0872843180243261)	(12, 0.09948978112858425)	(14, 0.11544842413740178)	(16, 0.13323788661185804)	(18, 0.14730468283951556)	(20, 0.15926603668168854)	(22, 0.17189869099459573)	(24, 0.18236487560649708)	(26, 0.19182410951229717)	(28, 0.20082563855168756)	(30, 0.21173427120111826)	(32, 0.2206900297538677)	(34, 0.23030183194847098)	(36, 0.239333874645622)	(38, 0.24781667150308143)	(40, 0.2554298291143624)	(42, 0.26466021058695766)	(44, 0.2731430074444171)	(46, 0.28159529064411587)	(48, 0.28850663412690203)	(50, 0.2961960758825847)	(52, 0.32283449910762807)	(54, 0.3825039568585701)	(56, 0.39173433833116533)	(58, 0.40000353958430024)	(60, 0.40760144036670093)	(62, 0.41420764727188064)	(64, 0.42168349342323874)	(66, 0.4287474051948282)	(68, 0.4340720384740608)	(70, 0.4383286937316708)	(72, 0.4417157097431025)	(74, 0.4438974362729886)	(76, 0.4441262887061935)
NDC_SRR21498225 - polya	(1, 0.040292941967312174)	(2, 0.04857426951551949)	(3, 0.053314615629320924)	(4, 0.05882598189416235)	(5, 0.06439446076278452)	(6, 0.0689920253671341)	(7, 0.07333258325447034)	(8, 0.07895817472687325)	(9, 0.0843553157841532)	(10, 0.09259380887952495)	(12, 0.10437328340930262)	(14, 0.12113583261894985)	(16, 0.1373272557907897)	(18, 0.15211942017000138)	(20, 0.16494119971877752)	(22, 0.1794763573809759)	(24, 0.19147000417493132)	(26, 0.20186449806302603)	(28, 0.21140230289440964)	(30, 0.22256781693354435)	(32, 0.2313774360667235)	(34, 0.24234305599262562)	(36, 0.2521235893900774)	(38, 0.26023357912694245)	(40, 0.2679009461845068)	(42, 0.277096075393206)	(44, 0.2859199726773304)	(46, 0.2945725321501125)	(48, 0.3012547067924591)	(50, 0.30962170324633753)	(52, 0.3440177688732883)	(54, 0.4068416330321024)	(56, 0.41549419250488456)	(58, 0.4231330032605586)	(60, 0.4299294031104666)	(62, 0.43636884918674507)	(64, 0.44287968601774946)	(66, 0.4498188673771094)	(68, 0.45528739918911526)	(70, 0.45981357303873893)	(72, 0.46336883262409)	(74, 0.46495370737900554)	(76, 0.46523927039790924)
NDC_SRR21498260 - polya	(1, 0.017549213874987556)	(2, 0.02050362698525482)	(3, 0.02239445137582587)	(4, 0.024905702519553045)	(5, 0.027387409532177547)	(6, 0.029278233922748597)	(7, 0.03134632309993568)	(8, 0.03421210381689493)	(9, 0.03669381082951943)	(10, 0.04074135679058558)	(12, 0.04641382996229873)	(14, 0.0529873991326434)	(16, 0.05985640961401479)	(18, 0.06631180225994876)	(20, 0.07133430454740311)	(22, 0.07742039555455368)	(24, 0.08235426544870002)	(26, 0.08694837783516561)	(28, 0.09104023999288577)	(30, 0.09594456575592944)	(32, 0.1001989206347143)	(34, 0.10455667997235851)	(36, 0.1084565052779113)	(38, 0.11179499209251331)	(40, 0.11604934697129818)	(42, 0.12009689293236434)	(44, 0.12420352715563582)	(46, 0.12807380833008594)	(48, 0.13123503035807194)	(50, 0.13470646576263595)	(52, 0.14382083020781045)	(54, 0.1573815863839372)	(56, 0.16159162506606806)	(58, 0.1652994135194535)	(60, 0.16918446675945492)	(62, 0.17244909324630026)	(64, 0.1764523230107124)	(66, 0.18021919972630318)	(68, 0.182671362607825)	(70, 0.18475422385056342)	(72, 0.1866893644377885)	(74, 0.18747228391200932)	(76, 0.18754614423976598)
NDC_SRR21498370 - polya	(1, 0.03692104250747125)	(2, 0.04581485940309031)	(3, 0.05029102382753017)	(4, 0.05526453985468557)	(5, 0.05906781681662793)	(6, 0.06257853401226703)	(7, 0.06690841855355525)	(8, 0.07156011883777708)	(9, 0.0766799147480841)	(10, 0.08427184068365366)	(12, 0.09557927565127461)	(14, 0.11265013801506976)	(16, 0.12694168259898395)	(18, 0.13972654438643634)	(20, 0.15005390413694136)	(22, 0.1637749571765642)	(24, 0.17417545686864505)	(26, 0.18393232507485874)	(28, 0.19335274954982368)	(30, 0.20482109238891139)	(32, 0.21403672502746404)	(34, 0.22407152501166583)	(36, 0.2328775739773939)	(38, 0.24120089932872163)	(40, 0.24911464100722475)	(42, 0.257935317961268)	(44, 0.26756053427264526)	(46, 0.27699558673592534)	(48, 0.28448511675328875)	(50, 0.2931156298592349)	(52, 0.31431158492790595)	(54, 0.352651542301948)	(56, 0.36147221925599127)	(58, 0.3700881043736222)	(60, 0.37734358657794304)	(62, 0.38350196965862665)	(64, 0.3904210081316987)	(66, 0.3976033503944437)	(68, 0.4020356308539381)	(70, 0.4058681637925108)	(72, 0.4092472290933134)	(74, 0.41123663550417555)	(76, 0.411456055328903)
NDC_SRR21498400 - polya	(1, 0.03864564478793625)	(2, 0.04591282872036158)	(3, 0.04977175972323859)	(4, 0.054391209974857795)	(5, 0.058926158087727866)	(6, 0.06348927358018099)	(7, 0.06726370244430886)	(8, 0.07219299387134155)	(9, 0.07706595053920814)	(10, 0.08568516869161959)	(12, 0.09768447239399629)	(14, 0.11396521779299568)	(16, 0.12811932603347526)	(18, 0.14173825406187698)	(20, 0.1534277165888402)	(22, 0.16583544729517105)	(24, 0.17589120180631773)	(26, 0.1853836087258035)	(28, 0.19550978168590782)	(30, 0.206875319347666)	(32, 0.21697332492818727)	(34, 0.22702907943933393)	(36, 0.23505678262050145)	(38, 0.24243663607125898)	(40, 0.24998549379951474)	(42, 0.2586892140906753)	(44, 0.267477436520585)	(46, 0.27519529852633906)	(48, 0.28194138593647805)	(50, 0.28905364928119665)	(52, 0.30616533237789584)	(54, 0.33878315793506064)	(56, 0.3469235306345604)	(58, 0.3548244806076042)	(60, 0.36168323753607534)	(62, 0.36830257173809067)	(64, 0.3755275046011415)	(66, 0.3823299267704465)	(68, 0.3865691173976947)	(70, 0.39024496043328194)	(72, 0.3933715395669998)	(74, 0.3948784943746926)	(76, 0.39496299651344174)
NDC_SRR21498528 - polya	(1, 0.020068279933392424)	(2, 0.023014813098215913)	(3, 0.024806623806554524)	(4, 0.027354976813969433)	(5, 0.029306059585271476)	(6, 0.03181459457694553)	(7, 0.033686041316765857)	(8, 0.036632574481589346)	(9, 0.04005692383530313)	(10, 0.04381972632281421)	(12, 0.049473884558016046)	(14, 0.05632258326544362)	(16, 0.06350973510666848)	(18, 0.07049779686918906)	(20, 0.07517641371873987)	(22, 0.080890298977553)	(24, 0.0857680059058081)	(26, 0.09024753267665461)	(28, 0.09444833333731513)	(30, 0.09912695018686596)	(32, 0.10410420215447319)	(34, 0.10892218205911701)	(36, 0.11268498454662809)	(38, 0.11624869695543488)	(40, 0.11967304630914867)	(42, 0.12375439292258661)	(44, 0.128691826874453)	(46, 0.1326736284485388)	(48, 0.13705361018003318)	(50, 0.14117477480921198)	(52, 0.14989492025645987)	(54, 0.1632339555296473)	(56, 0.16725557511947398)	(58, 0.17103828661485546)	(60, 0.1742834548977354)	(62, 0.17748880516487447)	(64, 0.18063442840840224)	(66, 0.1834814165338736)	(68, 0.18600986053341806)	(70, 0.1876822171945341)	(72, 0.18935457385565013)	(74, 0.19050929631213503)	(76, 0.19064865936722802)
NDC_SRR21498546 - polya	(1, 0.04105373448920939)	(2, 0.04724475064211195)	(3, 0.051317168111511734)	(4, 0.05602516518596235)	(5, 0.06115688199711353)	(6, 0.06551177929098034)	(7, 0.07012561642394195)	(8, 0.0758222928840272)	(9, 0.08041259003161655)	(10, 0.08835733509475197)	(12, 0.10018617774430916)	(14, 0.1168760273732366)	(16, 0.13201223796759531)	(18, 0.1444531202368311)	(20, 0.1555993033105929)	(22, 0.1691936448630691)	(24, 0.17966893835372172)	(26, 0.18943803228320674)	(28, 0.1998427058177426)	(30, 0.21037684927182587)	(32, 0.2197457634499826)	(34, 0.22975025723319015)	(36, 0.23927218131626654)	(38, 0.24694621654762106)	(40, 0.25517344143522347)	(42, 0.26416571584742415)	(44, 0.2728166604717272)	(46, 0.2812086652569354)	(48, 0.28835305081741425)	(50, 0.2960977060048855)	(52, 0.33025422478002475)	(54, 0.399850191533091)	(56, 0.40743006682295646)	(58, 0.41491578217133296)	(60, 0.4223426475562788)	(62, 0.42893384346050967)	(64, 0.43600760906487174)	(66, 0.44218685522508816)	(68, 0.44736565200698386)	(70, 0.4516146193666755)	(72, 0.4551573871651996)	(74, 0.4570405859949799)	(76, 0.4572642158560163)
