"X"	"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"
"GO:0002366"	"GO:0002366"	"leukocyte activation involved in immune response"	257	-0.347052399344522	-1.75607977271729	5.85037695361926e-07	4.7710247997124e-05	3.88864872416767e-05	2705	"tags=34%, list=18%, signal=28%"
"GO:0001909"	"GO:0001909"	"leukocyte mediated cytotoxicity"	128	-0.434105055284401	-1.99968180278983	6.01141804025153e-07	4.83232133035648e-05	3.9386087821618e-05	2639	"tags=37%, list=18%, signal=30%"
"GO:0048525"	"GO:0048525"	"negative regulation of viral process"	61	-0.554483520228606	-2.28001546336949	6.58657456268646e-07	5.22009226256855e-05	4.25466350921051e-05	2069	"tags=44%, list=14%, signal=38%"
"GO:0006066"	"GO:0006066"	"alcohol metabolic process"	268	-0.35208796109684	-1.7789125232298	6.71758240225821e-07	5.24997724687596e-05	4.27902142202325e-05	2706	"tags=36%, list=18%, signal=30%"
"GO:0048705"	"GO:0048705"	"skeletal system morphogenesis"	169	0.443567038202619	1.89773753435625	7.29380381229329e-07	5.62222384270881e-05	4.58242295748549e-05	3235	"tags=41%, list=22%, signal=33%"
"GO:0006644"	"GO:0006644"	"phospholipid metabolic process"	317	-0.327848738576636	-1.67590140146647	8.58514820965367e-07	6.52819310482719e-05	5.3208379444468e-05	3877	"tags=41%, list=26%, signal=31%"
"GO:0022904"	"GO:0022904"	"respiratory electron transport chain"	99	-0.464953341812791	-2.06308789069353	1.05275554635644e-06	7.89847394579693e-05	6.43769251294739e-05	4697	"tags=54%, list=32%, signal=37%"
"GO:0098876"	"GO:0098876"	"vesicle-mediated transport to the plasma membrane"	149	-0.40544328128553	-1.92066120017773	1.17170827361392e-06	8.67526638898098e-05	7.0708212578059e-05	2452	"tags=33%, list=17%, signal=28%"
"GO:0007034"	"GO:0007034"	"vacuolar transport"	155	-0.399200155805764	-1.88757802294439	1.22877125953953e-06	8.97960503562198e-05	7.31887406399689e-05	3558	"tags=37%, list=24%, signal=28%"
"GO:0002758"	"GO:0002758"	"innate immune response-activating signaling pathway"	283	-0.340004793839875	-1.71144903651951	1.33302191077513e-06	9.61655678452776e-05	7.838024919362e-05	3498	"tags=39%, list=24%, signal=30%"
"GO:0060341"	"GO:0060341"	"regulation of cellular localization"	459	-0.294228859841565	-1.57062248356971	1.41800140266753e-06	0.000101001188516585	8.23215471208851e-05	1774	"tags=21%, list=12%, signal=19%"
"GO:0034341"	"GO:0034341"	"response to type II interferon"	104	-0.457735798102171	-2.05455352178497	1.48489724389108e-06	0.000103667437817875	8.44946875632492e-05	3480	"tags=52%, list=24%, signal=40%"
"GO:0060349"	"GO:0060349"	"bone morphogenesis"	79	0.535359393443847	2.04757956640918	1.49228051594951e-06	0.000103667437817875	8.44946875632492e-05	2928	"tags=43%, list=20%, signal=35%"
"GO:0002283"	"GO:0002283"	"neutrophil activation involved in immune response"	21	-0.750799054969754	-2.36814524141735	1.51881092964296e-06	0.000104223769525621	8.49481286322769e-05	1288	"tags=81%, list=9%, signal=74%"
"GO:0043300"	"GO:0043300"	"regulation of leukocyte degranulation"	41	-0.614742239227854	-2.33766937338135	1.54211484238284e-06	0.000104547954434798	8.52123572385798e-05	2492	"tags=61%, list=17%, signal=51%"
"GO:0009206"	"GO:0009206"	"purine ribonucleoside triphosphate biosynthetic process"	103	-0.452520719369325	-2.01358194303206	1.67688235599044e-06	0.000112331154966169	9.15560955520094e-05	4645	"tags=55%, list=32%, signal=38%"
"GO:0001736"	"GO:0001736"	"establishment of planar polarity"	27	0.707862633590134	2.21030799649997	1.99024231163772e-06	0.000127262425995289	0.000103725906122076	1676	"tags=56%, list=11%, signal=49%"
"GO:0007164"	"GO:0007164"	"establishment of tissue polarity"	27	0.707862633590134	2.21030799649997	1.99024231163772e-06	0.000127262425995289	0.000103725906122076	1676	"tags=56%, list=11%, signal=49%"
"GO:0007224"	"GO:0007224"	"smoothened signaling pathway"	127	0.466441572073138	1.93750221344247	1.96399713890441e-06	0.000127262425995289	0.000103725906122076	3159	"tags=49%, list=22%, signal=39%"
"GO:0017157"	"GO:0017157"	"regulation of exocytosis"	147	-0.403750249585337	-1.91375101970407	1.95580195487111e-06	0.000127262425995289	0.000103725906122076	3124	"tags=46%, list=21%, signal=37%"
"GO:0002263"	"GO:0002263"	"cell activation involved in immune response"	261	-0.343885344303236	-1.73542848684329	2.0155457656857e-06	0.000127432314870938	0.000103864374939002	2705	"tags=34%, list=18%, signal=28%"
"GO:0009145"	"GO:0009145"	"purine nucleoside triphosphate biosynthetic process"	104	-0.454043090207344	-2.03797875083261	2.06388941658799e-06	0.000129038952746007	0.000105173873544724	4645	"tags=56%, list=32%, signal=38%"
"GO:0008202"	"GO:0008202"	"steroid metabolic process"	231	-0.356645852846238	-1.76192814217487	2.09232618292501e-06	0.000129379334410099	0.000105451303400859	2635	"tags=35%, list=18%, signal=30%"
"GO:0022900"	"GO:0022900"	"electron transport chain"	107	-0.448688908782935	-2.0286166634415	2.17509370185871e-06	0.000133035350656075	0.000108431158569776	4697	"tags=53%, list=32%, signal=36%"
"GO:0072657"	"GO:0072657"	"protein localization to membrane"	384	-0.305670890443561	-1.59343884114929	2.21827369894463e-06	0.000134217484988833	0.000109394663342408	1862	"tags=23%, list=13%, signal=21%"
"GO:0009201"	"GO:0009201"	"ribonucleoside triphosphate biosynthetic process"	109	-0.441675107751282	-1.99340134891976	2.35377273608754e-06	0.000140900842403879	0.000114841968769691	4645	"tags=53%, list=32%, signal=37%"
"GO:0099111"	"GO:0099111"	"microtubule-based transport"	212	0.412007160220123	1.81600680980693	2.48803255339569e-06	0.00014737009661008	0.000120114768256455	3201	"tags=41%, list=22%, signal=32%"
